timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,14.753021,30.938,,,,,,,0.879883,0.027344,0.021484,0.077148,0.120117,0.000000,0.022461,0.849609
2048,16.362792,30.493,-0.073552,0.670313,1.414336,0.005289,0.060840,0.987509,0.878906,0.034180,0.011719,0.048828,0.074219,0.000000,0.031250,0.862305
3072,17.783782,31.340,-0.088569,0.342434,1.398140,0.040064,0.175098,0.970770,0.869141,0.029297,0.016602,0.064453,0.050781,0.000000,0.023438,0.849609
4096,19.858838,33.020,0.301814,0.246508,1.380822,0.053159,0.244727,0.950798,0.875977,0.021484,0.007812,0.035156,0.048828,0.000000,0.017578,0.864258
5120,26.437106,41.020,0.233645,0.326792,1.360557,0.092208,0.325488,0.927618,0.887695,0.010742,0.005859,0.063477,0.017578,0.000000,0.009766,0.881836
6144,31.640405,47.400,0.008208,0.345524,1.335089,0.079740,0.333887,0.905413,0.895508,0.012695,0.005859,0.046875,0.019531,0.000000,0.010742,0.885742
7168,35.374317,52.150,0.504576,0.257774,1.310039,0.098034,0.343945,0.882744,0.895508,0.006836,0.000000,0.038086,0.001953,0.000000,0.005859,0.890625
8192,45.949854,65.030,0.203983,0.249899,1.279572,0.098224,0.370312,0.849825,0.882812,0.003906,0.000000,0.041992,0.008789,0.000000,0.001953,0.874023
9216,49.876145,69.710,0.371407,0.084830,1.244373,0.120839,0.372070,0.823762,0.902344,0.004883,0.003906,0.041016,0.000977,0.000000,0.004883,0.900391
10240,60.311962,82.130,0.646367,0.092497,1.214226,0.089146,0.367480,0.800948,0.889648,0.003906,0.000000,0.014648,0.011719,0.000000,0.003906,0.886719
11264,65.186285,88.170,0.172218,0.165555,1.187538,0.101823,0.341699,0.781633,0.918945,0.000977,0.000000,0.094727,0.005859,0.000000,0.000977,0.910156
12288,69.227243,92.940,0.000666,0.139750,1.161682,0.118903,0.344824,0.758284,0.896484,0.000977,0.000000,0.041016,0.000000,0.000000,0.000977,0.893555
13312,82.286321,108.370,-0.098357,0.047420,1.130898,0.122378,0.397461,0.734170,0.896484,0.002930,0.005859,0.016602,0.008789,0.000000,0.001953,0.891602
