timestep,raw_steer,raw_throttle
10,0.407088,0.500000
20,-0.526453,0.500000
30,-0.616438,0.500000
40,-0.452950,0.500000
50,-0.045716,0.500000
60,-1.000000,0.500000
70,0.274962,0.500000
80,0.029387,0.500000
90,-0.683990,0.500000
100,-0.563202,0.500000
110,-0.473412,0.500000
120,1.000000,0.500000
130,0.820606,0.500000
140,-0.646806,0.500000
150,0.573010,0.500000
160,-0.273187,0.500000
170,-1.000000,0.500000
180,-0.650428,0.500000
190,-0.123379,0.500000
200,0.732551,0.500000
210,-0.180426,0.500000
220,1.000000,0.500000
230,-0.031300,0.500000
240,-0.961039,0.500000
250,0.260244,0.500000
260,-0.078251,0.500000
270,-0.075600,0.500000
280,-0.483472,0.500000
290,0.263482,0.500000
300,1.000000,0.500000
310,-0.679477,0.500000
320,0.725392,0.500000
330,-0.630174,0.500000
340,-1.000000,0.500000
350,0.026189,0.500000
360,-0.650292,0.500000
370,-0.869654,0.500000
380,0.626544,0.500000
390,-0.320367,0.500000
400,0.088726,0.500000
410,-0.104459,0.500000
420,-0.904654,0.500000
430,-0.501108,0.500000
440,-1.000000,0.500000
450,0.300830,0.500000
460,-1.000000,0.500000
470,0.490113,0.500000
480,-0.437187,0.500000
490,0.889070,0.500000
500,-1.000000,0.500000
510,1.000000,0.500000
520,-0.408936,0.500000
530,-0.385230,0.500000
540,-1.000000,0.500000
550,-0.323388,0.500000
560,-1.000000,0.500000
570,-0.343093,0.500000
580,0.291729,0.500000
590,-1.000000,0.500000
600,0.554245,0.500000
610,1.000000,0.500000
620,-1.000000,0.500000
630,1.000000,0.500000
640,-0.404387,0.500000
650,-0.562909,0.500000
660,-0.435933,0.500000
670,-1.000000,0.500000
680,-0.558962,0.500000
690,0.565358,0.500000
700,-0.925422,0.500000
710,0.268028,0.500000
720,0.779946,0.500000
730,1.000000,0.500000
740,1.000000,0.500000
750,1.000000,0.500000
760,0.738564,0.500000
770,-0.437251,0.500000
780,0.581735,0.500000
790,-1.000000,0.500000
800,0.378521,0.500000
810,0.374133,0.500000
820,0.049176,0.500000
830,0.938544,0.500000
840,-0.444959,0.500000
850,0.568719,0.500000
860,0.521516,0.500000
870,-0.567524,0.500000
880,-0.789450,0.500000
