timestep,raw_steer
10,0.997248
20,1.000000
30,-0.242015
40,0.086051
50,0.674536
60,-1.000000
70,0.584098
80,-0.477183
90,0.174178
100,0.622081
110,1.000000
120,-0.828006
130,0.529888
140,1.000000
150,-0.312171
160,-1.000000
170,0.164550
180,1.000000
190,-1.000000
200,0.294209
210,1.000000
220,-0.739600
230,-1.000000
240,-0.547646
250,0.982807
260,0.076047
270,0.517605
280,-0.079463
290,-0.185941
300,-1.000000
310,1.000000
320,1.000000
330,-0.619316
340,0.976947
350,-0.368536
360,-1.000000
370,-1.000000
380,0.185228
390,-0.386455
400,-0.736422
410,0.098204
420,1.000000
430,0.482332
440,-0.762688
450,-1.000000
460,0.890581
470,1.000000
480,1.000000
490,0.161568
500,-0.323649
510,-0.841227
520,1.000000
530,0.477568
540,-0.330893
550,0.545360
560,-0.651222
570,1.000000
580,-0.352153
590,-0.186953
600,-0.332335
610,-0.464897
620,-0.318617
630,0.322692
640,0.016447
650,1.000000
660,0.340241
670,0.057699
680,-0.497122
690,0.345988
700,-0.243760
710,-0.759524
720,1.000000
730,-0.614500
740,-1.000000
750,0.293089
760,0.182799
770,-0.571247
780,1.000000
790,-1.000000
800,-1.000000
810,0.151820
820,1.000000
830,0.248425
840,1.000000
850,0.112757
860,-0.232244
870,0.581773
880,-1.000000
890,0.742228
900,0.372770
910,1.000000
920,-0.446529
930,-0.831056
940,-0.711955
950,1.000000
960,-0.756653
970,0.525977
980,0.570642
990,1.000000
1000,0.484815
1010,0.745004
1020,1.000000
1030,-0.037852
1040,0.130980
1050,0.660225
1060,-0.273699
1070,0.168267
1080,0.190574
1090,1.000000
1100,-0.250155
1110,0.476443
1120,0.619192
1130,0.934861
1140,1.000000
1150,-1.000000
1160,0.326253
1170,-0.796077
1180,-0.181932
1190,0.166115
1200,0.744879
1210,0.115679
1220,-0.011014
1230,1.000000
1240,-0.864371
1250,0.770233
1260,1.000000
1270,-1.000000
1280,-0.087118
1290,1.000000
1300,0.225854
1310,0.168034
1320,-1.000000
1330,1.000000
1340,-1.000000
1350,0.528264
1360,0.547964
1370,0.127429
1380,0.573633
1390,0.367929
1400,1.000000
1410,-0.269246
1420,-0.086557
1430,0.132423
1440,-1.000000
1450,0.330932
1460,1.000000
1470,0.590572
1480,0.482266
1490,0.864906
1500,-0.316862
1510,1.000000
1520,-0.900155
1530,0.632820
1540,1.000000
1550,-1.000000
1560,0.307428
1570,0.566942
1580,-0.527632
1590,0.289501
1600,-0.048817
1610,1.000000
1620,-0.665743
1630,-0.085052
1640,1.000000
1650,-0.324761
1660,0.326229
1670,1.000000
1680,-0.052789
1690,-0.355707
1700,-0.027580
1710,1.000000
1720,-1.000000
1730,0.088606
1740,-1.000000
1750,1.000000
1760,0.532020
1770,0.749467
1780,-0.497165
1790,-0.616507
1800,-1.000000
1810,0.339644
1820,1.000000
1830,0.454992
