timestep,raw_steer
10,-0.302979
20,0.936136
30,-0.864073
40,-0.947683
50,-0.144910
60,-1.000000
70,0.541500
80,0.192880
90,-0.161993
100,0.114665
110,-0.095587
120,1.000000
130,1.000000
140,-1.000000
150,-1.000000
160,0.195756
170,0.183378
180,0.740345
190,0.031051
200,-0.717342
210,1.000000
220,-0.458414
230,0.120811
240,-0.442170
250,1.000000
260,1.000000
270,0.223365
280,-1.000000
290,0.605932
300,-0.207140
310,-0.004889
320,0.445742
330,1.000000
340,-0.731232
350,-1.000000
360,0.154881
370,-0.012814
380,-1.000000
390,-0.105936
400,0.963830
410,0.167316
420,1.000000
430,1.000000
440,0.236972
450,0.052629
460,-0.229308
470,1.000000
480,-0.611333
490,-0.109464
500,1.000000
510,1.000000
520,-1.000000
530,0.246033
540,-1.000000
550,1.000000
560,1.000000
570,-0.486621
580,-0.039213
590,1.000000
600,0.938842
610,0.662696
620,1.000000
630,-0.802839
640,-0.131361
650,-0.932055
660,-0.461578
670,-0.111178
680,-0.024961
690,-0.717993
700,1.000000
710,-1.000000
720,-0.532356
730,-1.000000
740,0.347248
750,-1.000000
760,-1.000000
770,0.221660
780,0.888313
790,0.993521
800,-1.000000
810,0.723305
820,0.295543
830,-0.226298
840,0.362409
850,0.692714
860,0.105135
870,1.000000
880,-1.000000
890,1.000000
900,-0.557354
910,-0.590804
920,1.000000
930,0.951099
940,-1.000000
950,-0.517328
960,0.532269
970,0.062677
980,-0.605869
990,0.039940
1000,1.000000
1010,1.000000
1020,-0.542570
1030,0.801174
1040,-0.969554
1050,-1.000000
1060,-0.333740
1070,-1.000000
1080,0.271506
1090,-1.000000
1100,0.642675
1110,-0.071673
1120,-0.135148
1130,-0.538749
1140,-0.239458
1150,0.552497
1160,-0.183749
1170,1.000000
1180,1.000000
1190,-0.310260
1200,-0.343825
1210,-0.597461
1220,-0.450602
1230,-1.000000
1240,0.338941
1250,0.926718
1260,0.745185
1270,-0.857381
1280,1.000000
1290,-0.283773
1300,-1.000000
1310,0.805111
1320,1.000000
1330,1.000000
1340,-0.839548
1350,-1.000000
1360,-0.935682
1370,1.000000
1380,-0.341615
1390,0.433222
1400,-0.389665
1410,-0.472009
1420,-0.648905
1430,1.000000
1440,0.460089
1450,0.944410
1460,-0.921484
1470,1.000000
1480,0.345291
1490,1.000000
1500,-1.000000
1510,-0.733755
1520,-0.167477
1530,0.073665
1540,-0.426406
1550,0.277179
1560,0.147880
1570,-0.923312
1580,-1.000000
1590,0.672379
1600,1.000000
1610,0.783092
1620,1.000000
1630,-1.000000
1640,0.703258
1650,-0.949029
1660,-1.000000
1670,0.202450
1680,0.390332
1690,-0.614216
1700,0.030824
1710,0.322951
1720,0.499797
1730,-0.180161
1740,0.598132
1750,-0.313482
1760,-0.621025
1770,-0.729837
1780,-1.000000
1790,1.000000
1800,0.964001
1810,0.894465
1820,0.617584
1830,-0.524160
1840,0.145108
1850,0.431506
1860,0.211109
1870,0.009581
1880,0.079166
1890,0.646616
1900,1.000000
1910,0.353316
1920,-0.457101
1930,1.000000
1940,1.000000
1950,0.429666
1960,-0.786326
1970,1.000000
1980,0.234837
1990,0.976289
2000,-1.000000
2010,1.000000
2020,0.632039
2030,-1.000000
2040,-0.085728
2050,-0.384431
2060,-0.562564
2070,-0.750693
2080,-0.788240
2090,0.071622
2100,1.000000
2110,1.000000
2120,0.552559
2130,0.122097
2140,1.000000
2150,-1.000000
2160,1.000000
2170,-0.263414
2180,0.683084
2190,-0.178642
2200,-0.132117
2210,-1.000000
2220,0.352925
2230,0.616621
2240,-0.951010
2250,0.194078
2260,-0.060789
2270,-0.345897
2280,0.591440
2290,0.401047
2300,1.000000
2310,-1.000000
2320,0.071455
2330,1.000000
2340,-1.000000
2350,-0.480875
2360,0.477766
2370,0.105090
2380,1.000000
