timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,20.898206,36.286,nan,nan,nan,nan,nan,nan,0.856445,0.025391,0.008789,0.084961,0.097656,0.000000,0.025391,0.841797
2048,18.207575,31.906,-0.006393,20.587890,1.410825,0.009353,0.078906,0.986130,0.866211,0.032227,0.002930,0.049805,0.081055,0.000000,0.027344,0.839844
3072,19.659873,34.310,0.288358,32.983465,1.403973,0.007561,0.123242,0.984064,0.886719,0.020508,0.000000,0.054688,0.090820,0.000000,0.018555,0.869141
4096,24.126811,40.710,0.366804,30.707858,1.400328,0.014327,0.117285,0.980132,0.890625,0.010742,0.000000,0.017578,0.041016,0.000000,0.009766,0.882812
5120,26.552224,44.120,0.390802,43.357022,1.395528,0.015428,0.094824,0.973451,0.893555,0.010742,0.002930,0.050781,0.036133,0.000000,0.009766,0.878906
6144,32.834792,52.470,0.374993,36.215536,1.391244,0.027995,0.282422,0.972767,0.868164,0.004883,0.000000,0.024414,0.008789,0.000000,0.004883,0.866211
7168,39.331696,60.040,0.588427,24.699795,1.389219,0.007961,0.126367,0.967573,0.894531,0.006836,0.000000,0.017578,0.002930,0.000000,0.006836,0.892578
8192,46.705589,68.100,0.405398,59.797754,1.384701,0.086415,0.192773,0.965665,0.903320,0.009766,0.000000,0.004883,0.028320,0.000000,0.008789,0.902344
9216,52.711622,74.800,0.215739,87.712484,1.382582,0.018371,0.229980,0.963459,0.897461,0.009766,0.002930,0.040039,0.035156,0.000000,0.008789,0.887695
10240,61.489293,85.250,0.234804,72.476184,1.375138,0.015908,0.192383,0.950472,0.887695,0.002930,0.000000,0.049805,0.008789,0.000000,0.002930,0.884766
11264,66.128277,92.470,0.405467,47.403465,1.367721,0.071369,0.213867,0.951789,0.895508,0.000977,0.008789,0.025391,0.076172,0.000000,0.000977,0.882812
12288,72.866343,101.110,0.393481,97.732984,1.368702,0.008165,0.153906,0.948841,0.890625,0.003906,0.000000,0.029297,0.023438,0.000000,0.003906,0.886719
13312,81.426723,110.680,0.464528,72.496878,1.364180,0.012666,0.182910,0.944070,0.894531,0.002930,0.009766,0.032227,0.012695,0.000000,0.002930,0.889648
14336,87.462349,117.300,0.474910,23.784379,1.355840,0.010574,0.255957,0.933648,0.878906,0.005859,0.000000,0.017578,0.019531,0.000000,0.005859,0.877930
15360,92.671484,123.390,0.612163,46.638402,1.345304,0.015318,0.201563,0.925077,0.893555,0.000977,0.000000,0.044922,0.000000,0.000000,0.000977,0.888672
16384,102.918149,134.410,0.367817,23.799455,1.338446,0.011608,0.203418,0.921092,0.878906,0.004883,0.000000,0.031250,0.000000,0.000000,0.004883,0.875977
17408,107.089443,138.220,0.276806,93.463764,1.329194,0.052713,0.248047,0.912771,0.889648,0.008789,0.000000,0.015625,0.023438,0.000000,0.007812,0.885742
18432,113.243776,144.990,0.677170,81.384050,1.322785,0.016602,0.190723,0.904742,0.886719,0.002930,0.000000,0.017578,0.009766,0.000000,0.002930,0.883789
19456,120.571899,152.190,0.807930,41.230655,1.316825,0.015751,0.197363,0.900752,0.907227,0.002930,0.000000,0.021484,0.007812,0.000000,0.002930,0.903320
20480,124.223278,155.970,0.627006,43.063054,1.313244,0.168418,0.276758,0.899125,0.878906,0.003906,0.000000,0.011719,0.003906,0.000000,0.003906,0.878906
