timestep,ep_rew_mean,ep_len_mean,explained_variance
1024,33.245229,50.600,nan
2048,35.958508,53.289,0.004530
3072,40.668537,58.596,-0.217811
4096,40.520257,58.029,-0.115792
5120,40.197469,57.341,-0.004398
6144,42.154062,59.670,0.015767
7168,43.876594,61.290,0.278028
8192,47.337082,65.330,0.419724
9216,50.112773,68.170,0.431638
10240,53.035308,71.970,0.473985
11264,58.247023,78.220,0.363364
12288,64.117550,84.840,0.272603
13312,72.357913,94.240,-0.080081
14336,77.693135,100.280,-0.006359
15360,86.537437,109.790,0.008458
16384,94.323664,118.310,-0.003218
17408,102.058532,126.400,0.091670
18432,110.786349,135.390,0.075747
19456,119.669886,144.230,0.071214
20480,129.234572,153.700,-0.029342
21504,138.283157,162.340,-0.003657
22528,147.569740,171.220,0.029264
23552,156.937992,180.630,0.043326
24576,165.071863,188.850,0.186493
25600,173.987447,197.380,0.042771
26624,182.402786,205.530,0.163263
27648,191.319765,213.940,-0.116835
28672,199.891482,221.890,-0.014476
29696,209.103282,230.230,-0.034041
30720,218.977755,239.540,0.014109
31744,228.113987,247.700,0.017594
32768,237.826384,256.470,-0.003139
33792,247.751486,265.420,0.010000
34816,257.214829,274.080,0.007946
35840,266.045919,281.830,0.029045
36864,275.252155,290.400,0.173208
37888,284.861814,299.140,0.041115
38912,299.954220,312.990,0.224422
39936,308.624602,320.400,0.068419
40960,317.795889,328.470,0.347664
41984,327.671144,337.370,0.225054
43008,336.296838,344.850,0.550091
44032,346.618252,354.090,0.496155
45056,356.251043,362.740,-0.699011
46080,364.956377,370.170,0.076900
47104,373.228447,376.970,0.008702
48128,382.504364,385.040,0.353318
49152,390.886369,391.980,0.235228
50176,400.772030,400.780,-0.160256
51200,408.985328,407.750,0.331724
52224,416.348276,413.570,0.716593
53248,426.726215,422.960,0.632046
54272,434.433091,429.240,-0.085184
55296,443.214888,436.720,0.417387
56320,447.553288,439.250,0.634248
57344,457.416239,448.090,0.560584
58368,460.159916,448.570,-0.368226
59392,464.437269,451.340,0.275446
60416,478.047674,462.980,0.414458
61440,484.191136,467.670,0.188252
62464,489.908605,472.120,0.399180
63488,491.730454,472.120,0.588484
64512,497.307071,476.310,0.240310
65536,503.461057,481.050,0.347479
