timestep,ep_rew_mean,ep_len_mean,explained_variance
1024,29.296522,45.909,nan
2048,35.857612,53.297,-0.010167
3072,34.049919,50.767,-0.193270
4096,35.405273,52.333,-0.068028
5120,38.824012,56.067,0.135797
6144,41.478469,59.150,0.291360
7168,46.863888,65.260,0.229893
8192,53.114840,72.480,0.209430
9216,57.369233,77.930,0.100991
10240,68.176992,89.870,0.282314
11264,71.182111,93.270,0.105624
12288,79.017070,101.450,0.040567
13312,85.925276,109.060,0.018909
14336,97.668510,121.670,0.020316
15360,106.744850,131.050,-0.009430
16384,115.447129,139.720,0.014356
17408,124.274844,148.690,0.075315
18432,133.520946,157.770,0.203751
19456,142.621814,166.610,-0.035384
20480,152.715632,176.270,0.046731
21504,162.034254,185.240,0.026600
22528,171.807948,194.520,0.149500
23552,181.688243,203.580,-0.001613
24576,190.452766,212.390,-0.001492
25600,199.435944,221.240,0.008910
26624,208.381833,230.490,0.010585
27648,216.728577,238.890,0.026493
28672,225.083655,247.010,0.322228
29696,234.733305,256.350,0.371773
30720,244.763885,265.520,0.460892
31744,254.727271,274.570,0.339993
32768,264.360353,283.320,0.400748
33792,274.508513,292.440,-0.354039
34816,283.231325,300.030,0.012993
35840,293.457329,309.350,0.141148
36864,302.056882,317.030,0.166562
37888,316.132507,329.410,0.289545
38912,325.836733,338.270,-0.008211
39936,334.524680,345.590,0.221892
40960,344.321678,354.380,0.410147
41984,354.448958,363.410,0.576636
43008,364.869843,372.830,0.388513
44032,374.769345,381.810,0.376373
45056,383.069792,388.730,0.733861
46080,392.324350,396.890,-0.041077
47104,400.821047,404.060,0.550070
48128,411.216539,413.470,0.759205
49152,421.186807,422.460,0.631499
50176,427.942413,427.330,0.730284
