timestep,raw_steer
10,0.348133
20,-1.000000
30,-1.000000
40,1.000000
50,0.202477
60,1.000000
70,0.132454
80,0.876398
90,0.928850
100,0.136324
110,0.183156
120,-0.158814
130,0.227103
140,-0.193273
150,-1.000000
160,0.816786
170,0.859402
180,-0.789323
190,1.000000
200,0.646305
210,-0.610903
220,-0.140791
230,-1.000000
240,0.503024
250,0.957184
260,-0.366073
270,-1.000000
280,-0.867102
290,-0.734753
300,-1.000000
310,-1.000000
320,1.000000
330,0.345966
340,-0.315679
350,0.448347
360,0.508791
370,0.215436
380,-0.956562
390,0.954883
400,-1.000000
410,1.000000
420,0.003694
430,-0.086492
440,-1.000000
450,0.863069
460,-1.000000
470,-1.000000
480,-1.000000
490,0.297786
500,0.283142
510,-0.020480
520,-1.000000
530,0.150874
540,0.961819
550,0.916493
560,0.057357
570,0.926870
580,0.621647
590,0.181959
600,-0.094937
610,0.157312
620,1.000000
630,0.527595
640,-1.000000
650,-1.000000
660,0.901757
670,0.126884
680,0.455000
690,0.349981
700,0.840809
710,-0.190742
720,-1.000000
730,1.000000
740,-1.000000
750,-0.797072
760,-1.000000
770,0.066346
780,0.555747
790,-1.000000
800,0.597444
810,-0.268958
820,-0.003502
830,0.472194
840,1.000000
850,0.401479
860,1.000000
870,0.859573
880,-0.911715
890,-1.000000
900,-0.165645
910,-0.099745
920,-0.017723
930,-1.000000
940,1.000000
950,1.000000
960,-1.000000
970,-0.310118
980,0.474603
990,-0.223706
1000,0.286681
1010,0.647624
1020,0.222271
1030,1.000000
1040,-0.439314
1050,0.179955
1060,0.672431
1070,-0.263030
1080,0.069315
1090,0.265709
1100,0.185362
1110,0.362069
1120,-1.000000
1130,-0.343292
1140,0.713161
1150,-0.865761
1160,-0.807330
1170,-1.000000
1180,0.535847
1190,0.683364
1200,0.216249
1210,1.000000
1220,1.000000
1230,-0.252352
1240,0.887860
1250,-1.000000
1260,0.475715
1270,0.024487
1280,-0.869740
1290,-0.963613
1300,-0.070238
1310,1.000000
1320,-1.000000
1330,0.164551
1340,-0.478479
1350,-0.149336
1360,-1.000000
1370,0.926393
1380,0.011707
1390,0.929684
1400,-1.000000
1410,-0.889434
1420,-0.476345
1430,-0.050694
1440,-0.323134
1450,-1.000000
1460,1.000000
1470,1.000000
1480,-0.804982
1490,0.282549
1500,0.007006
1510,1.000000
1520,-1.000000
1530,-0.001180
1540,0.597458
1550,-1.000000
1560,-0.875553
1570,-1.000000
1580,-0.780979
1590,-1.000000
1600,-0.102092
1610,1.000000
1620,-0.339396
1630,0.499816
1640,0.292466
1650,0.853011
1660,-0.370069
1670,0.899982
1680,-0.710677
1690,-0.557188
1700,-1.000000
1710,-1.000000
1720,1.000000
1730,0.196306
1740,-0.068339
1750,0.731303
1760,-1.000000
1770,-0.080529
1780,-1.000000
1790,-0.349318
1800,-0.687507
1810,0.384962
1820,-0.039972
1830,0.404755
1840,0.508858
1850,1.000000
1860,1.000000
1870,0.210856
1880,1.000000
1890,-0.622008
1900,0.199819
1910,-0.325706
1920,1.000000
1930,0.706367
1940,1.000000
1950,-1.000000
1960,0.933558
1970,-0.482949
1980,0.998112
1990,-1.000000
2000,-0.254888
2010,-0.238250
2020,0.234186
2030,-0.487095
2040,-0.304681
2050,1.000000
2060,0.380186
2070,0.819953
2080,0.329624
2090,-0.413315
2100,0.239396
2110,0.945453
2120,-0.793764
2130,0.252780
2140,0.372070
2150,-0.247180
2160,1.000000
2170,1.000000
2180,-0.019526
2190,1.000000
2200,-1.000000
2210,-0.420852
2220,-1.000000
2230,-0.227466
2240,0.798430
2250,-0.251632
2260,0.472830
2270,-0.934550
2280,-0.764955
2290,-0.936239
2300,-0.872821
2310,0.613791
2320,0.401406
2330,-0.883090
