timestep,ep_rew_mean,ep_len_mean,explained_variance
1024,24.827856,48.000,nan
2048,25.643098,49.122,-0.003977
3072,26.188675,49.387,0.009604
4096,25.706183,48.369,0.019716
5120,26.649639,49.960,0.230282
6144,29.222254,53.170,0.426808
7168,32.904858,59.050,0.355974
8192,35.531830,62.820,0.321963
9216,39.868815,68.760,0.006287
10240,46.402796,77.210,0.060115
11264,50.126239,82.390,-0.015845
12288,57.083027,91.640,-0.012411
13312,66.489266,103.920,-0.009778
14336,73.096365,112.760,-0.001255
15360,77.739348,118.910,0.016524
16384,85.287494,128.320,-0.008011
17408,92.605983,137.740,0.036291
18432,99.258626,146.350,0.038672
19456,106.760770,155.080,-0.384741
20480,116.200626,165.950,0.150893
21504,124.172846,175.370,0.562414
22528,131.983099,184.670,-0.143546
23552,140.283029,194.000,-0.159573
24576,148.305299,202.710,-0.048542
25600,156.541294,211.800,-0.002773
26624,164.217345,219.940,-0.016677
27648,172.575161,229.140,0.018406
28672,181.037594,238.360,0.005287
29696,188.988768,246.920,-0.013711
30720,197.047140,255.450,0.066570
31744,205.701304,264.540,-0.005703
32768,214.507340,273.810,0.014551
33792,222.845364,282.330,-0.032861
34816,231.176684,290.800,0.091063
35840,240.095528,300.010,0.026873
36864,247.655918,307.430,0.034814
37888,256.236759,315.840,0.181177
38912,265.142158,324.960,0.037138
39936,278.080178,338.220,0.309173
40960,286.018437,345.860,0.460707
41984,295.100696,354.970,-0.014728
43008,303.035357,362.510,0.084227
44032,311.464635,370.480,-0.149714
45056,319.863477,378.570,0.047557
46080,327.303848,385.490,0.281574
47104,336.674698,394.710,0.418427
48128,344.619034,402.170,0.392165
49152,353.507000,411.000,-0.390887
50176,361.779387,418.770,0.300076
51200,370.994802,428.030,0.488753
52224,380.360464,437.400,0.681098
53248,388.495450,444.920,-0.257588
54272,396.511808,452.110,0.055832
55296,399.543783,452.880,0.231258
56320,404.254132,455.870,0.067790
57344,412.622652,463.540,0.069519
58368,420.433363,470.340,0.030417
59392,423.055588,470.340,0.144831
60416,426.396748,471.350,0.312621
61440,434.609076,477.170,0.474372
62464,440.428945,481.320,0.587836
63488,445.273545,484.230,0.505794
64512,451.224988,488.730,0.566243
65536,453.521204,488.730,0.291610
66560,459.256883,492.890,0.621436
67584,461.862508,492.890,0.379774
68608,464.179558,493.350,-0.063693
69632,466.043419,493.350,0.364235
70656,473.891394,500.000,0.468231
71680,475.431639,500.000,0.497025
72704,476.590678,500.000,0.267694
73728,477.263958,500.000,0.336397
74752,477.684000,500.000,-0.071090
75776,478.300186,500.000,0.117309
76800,478.817454,500.000,0.316284
77824,479.415507,500.000,0.341404
78848,479.828194,500.000,0.609702
79872,480.537122,500.000,0.423300
80896,481.080532,500.000,0.413705
81920,481.341409,500.000,0.521847
82944,481.641520,500.000,-0.137288
83968,481.806234,500.000,0.067985
84992,482.030660,500.000,0.052637
86016,482.155940,500.000,0.143150
87040,482.383214,500.000,0.246097
88064,482.489846,500.000,0.218746
89088,482.636507,500.000,0.124382
90112,482.713983,500.000,0.330040
91136,482.783846,500.000,0.639927
92160,482.784073,500.000,0.491488
93184,482.813338,500.000,0.562512
94208,482.723370,500.000,0.615557
95232,482.835823,500.000,0.697152
96256,482.865682,500.000,0.413149
97280,482.637757,500.000,0.202126
98304,482.682621,500.000,0.502317
99328,482.806976,500.000,0.493079
100352,482.847419,500.000,0.651323
101376,482.900679,500.000,0.411175
102400,482.876177,500.000,0.206791
103424,482.682337,500.000,0.589933
104448,482.564040,500.000,0.649020
105472,482.381225,500.000,0.639179
106496,482.219935,500.000,0.556262
107520,482.035606,500.000,0.578570
108544,481.771689,500.000,0.482825
109568,481.389873,500.000,0.581105
110592,481.113395,500.000,0.421465
111616,480.987126,500.000,0.704053
112640,480.836716,500.000,0.550730
113664,480.527236,500.000,0.648855
114688,480.250375,500.000,0.680478
115712,479.888359,500.000,0.627266
116736,479.590495,500.000,0.617428
117760,479.114412,500.000,0.534392
118784,478.634402,500.000,0.483192
119808,478.111341,500.000,0.712550
120832,477.634178,500.000,0.771755
121856,477.665666,500.000,0.721569
122880,478.157272,500.000,0.605506
123904,478.679388,500.000,0.611985
124928,479.508613,500.000,0.610277
125952,480.031701,500.000,0.692660
126976,480.619658,500.000,0.734661
