timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,21.705006,43.652,nan,0.037497,0.993397,nan,nan,nan,0.861328,0.017578,0.018555,0.028320,0.112305,0.000000,0.013672,0.839844
2049,22.944659,40.660,nan,0.037708,0.744630,nan,nan,nan,0.858398,0.023438,0.005859,0.047852,0.067383,0.000000,0.019531,0.836914
3073,24.143984,42.200,nan,0.093624,0.565205,nan,nan,nan,0.870117,0.015625,0.011719,0.053711,0.092773,0.000000,0.012695,0.844727
4097,25.893682,44.549,nan,0.092423,0.434478,nan,nan,nan,0.859375,0.016602,0.009766,0.042969,0.123047,0.000000,0.013672,0.836914
5121,27.131344,44.980,nan,0.581418,0.338153,nan,nan,nan,0.865234,0.021484,0.008789,0.071289,0.104492,0.000000,0.016602,0.836914
6145,28.613863,47.250,nan,0.211785,0.266523,nan,nan,nan,0.885742,0.015625,0.020508,0.034180,0.077148,0.000000,0.013672,0.861328
7169,28.443575,47.990,nan,0.711509,0.212812,nan,nan,nan,0.862305,0.015625,0.007812,0.045898,0.101562,0.000000,0.015625,0.843750
8193,27.072002,47.310,nan,0.311671,0.172028,nan,nan,nan,0.851562,0.016602,0.011719,0.041016,0.108398,0.000000,0.014648,0.834961
9217,33.018080,54.140,nan,0.727416,0.141627,nan,nan,nan,0.844727,0.005859,0.001953,0.018555,0.028320,0.000000,0.005859,0.839844
10241,35.950155,57.620,nan,0.289927,0.119055,nan,nan,nan,0.851562,0.000977,0.000000,0.024414,0.000000,0.000000,0.000977,0.847656
11265,42.502810,64.820,nan,0.448013,0.101254,nan,nan,nan,0.856445,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.856445
12289,51.711817,74.790,nan,0.173142,0.086887,nan,nan,nan,0.898438,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.893555
13313,60.290457,82.730,nan,0.097391,0.075121,nan,nan,nan,0.865234,0.002930,0.000000,0.000000,0.002930,0.000000,0.000977,0.862305
14337,69.995858,92.670,nan,0.147425,0.065724,nan,nan,nan,0.869141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.869141
15361,85.926362,109.860,nan,0.191230,0.058125,nan,nan,nan,0.880859,0.001953,0.000000,0.000977,0.000000,0.000000,0.000977,0.879883
16385,95.464206,119.640,nan,0.045692,0.052010,nan,nan,nan,0.856445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.856445
17409,104.798913,128.440,nan,0.056548,0.047158,nan,nan,nan,0.879883,0.004883,0.000000,0.032227,0.000000,0.000000,0.001953,0.870117
18433,105.891899,129.110,nan,0.077513,0.043246,nan,nan,nan,0.853516,0.001953,0.000000,0.020508,0.000000,0.000000,0.000977,0.846680
19457,115.667972,139.090,nan,0.053193,0.040122,nan,nan,nan,0.875977,0.000977,0.000000,0.003906,0.000977,0.000000,0.000000,0.875000
20481,124.755303,149.260,nan,0.018564,0.037712,nan,nan,nan,0.881836,0.000000,0.000000,0.023438,0.000000,0.000000,0.000000,0.877930
21505,134.066075,158.590,nan,0.036415,0.035881,nan,nan,nan,0.869141,0.000000,0.000000,0.027344,0.000000,0.000000,0.000000,0.866211
22529,143.880971,168.480,nan,0.036544,0.034583,nan,nan,nan,0.834961,0.000000,0.000000,0.048828,0.000000,0.000000,0.000000,0.825195
23553,157.234992,181.800,nan,0.015266,0.033758,nan,nan,nan,0.848633,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.847656
24577,161.692315,185.920,nan,0.024510,0.033369,nan,nan,nan,0.818359,0.001953,0.000000,0.000977,0.000000,0.000000,0.000977,0.817383
