timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,17.157961,89.000,nan,nan,nan,nan,nan,nan,0.958008,0.010742,0.000000,0.053711,0.004883,0.000000,0.009766,0.956055
2049,8.664476,59.353,nan,nan,nan,nan,nan,nan,0.948242,0.020508,0.021484,0.086914,0.026367,0.000000,0.015625,0.935547
3073,8.887364,60.059,nan,nan,nan,nan,nan,nan,0.960938,0.016602,0.000000,0.059570,0.004883,0.000000,0.015625,0.955078
4097,10.802618,69.441,nan,nan,nan,nan,nan,nan,0.959961,0.007812,0.000000,0.067383,0.005859,0.000000,0.007812,0.957031
5121,10.615178,63.688,nan,0.001110,0.005000,nan,nan,nan,0.948242,0.020508,0.004883,0.071289,0.012695,0.000000,0.016602,0.935547
6145,18.293924,67.244,nan,0.000348,0.005000,nan,nan,nan,0.827148,0.009766,0.000000,0.031250,0.019531,0.000000,0.006836,0.817383
7169,26.546137,74.411,nan,0.000312,0.005000,nan,nan,nan,0.818359,0.004883,0.000000,0.016602,0.000000,0.000000,0.004883,0.813477
8193,32.920271,80.100,nan,0.000332,0.005000,nan,nan,nan,0.883789,0.007812,0.002930,0.016602,0.002930,0.000000,0.006836,0.882812
9217,40.529506,85.300,nan,0.000229,0.005000,nan,nan,nan,0.831055,0.003906,0.000000,0.009766,0.000000,0.000000,0.003906,0.830078
10241,49.452460,92.190,nan,0.000313,0.005000,nan,nan,nan,0.847656,0.001953,0.000000,0.006836,0.000000,0.000000,0.001953,0.847656
11265,58.682589,100.580,nan,0.001034,0.005000,nan,nan,nan,0.882812,0.008789,0.000000,0.006836,0.000000,0.000000,0.005859,0.879883
12289,65.037945,106.600,nan,0.000162,0.005000,nan,nan,nan,0.882812,0.002930,0.000000,0.015625,0.000000,0.000000,0.002930,0.880859
13313,75.791356,115.620,nan,0.001543,0.005000,nan,nan,nan,0.876953,0.006836,0.000000,0.028320,0.004883,0.000000,0.005859,0.875000
14337,81.776280,117.060,nan,0.000495,0.005000,nan,nan,nan,0.885742,0.008789,0.000000,0.016602,0.000000,0.000000,0.006836,0.882812
15361,92.061680,124.780,nan,0.000924,0.005000,nan,nan,nan,0.903320,0.005859,0.000000,0.012695,0.000000,0.000000,0.005859,0.903320
16385,98.043794,130.270,nan,0.000227,0.005000,nan,nan,nan,0.886719,0.005859,0.000000,0.013672,0.010742,0.000000,0.004883,0.883789
17409,108.849747,140.950,nan,0.000346,0.005000,nan,nan,nan,0.890625,0.001953,0.000000,0.005859,0.000000,0.000000,0.001953,0.889648
18433,118.774315,145.790,nan,0.001062,0.005000,nan,nan,nan,0.906250,0.006836,0.000000,0.014648,0.000000,0.000000,0.004883,0.903320
19457,126.664292,151.270,nan,0.000778,0.005000,nan,nan,nan,0.900391,0.005859,0.000000,0.019531,0.002930,0.000000,0.005859,0.900391
20481,132.367905,154.470,nan,0.001035,0.005000,nan,nan,nan,0.896484,0.005859,0.000000,0.020508,0.000000,0.000000,0.004883,0.893555
21505,144.807328,164.950,nan,0.001575,0.005000,nan,nan,nan,0.917969,0.005859,0.000000,0.021484,0.005859,0.000000,0.005859,0.916992
22529,150.340551,170.690,nan,0.001434,0.005000,nan,nan,nan,0.913086,0.008789,0.000000,0.017578,0.000000,0.000000,0.007812,0.912109
23553,147.566120,167.830,nan,0.002583,0.005000,nan,nan,nan,0.900391,0.008789,0.000977,0.014648,0.000977,0.000000,0.006836,0.896484
24577,145.983850,165.670,nan,0.001515,0.005000,nan,nan,nan,0.922852,0.005859,0.000000,0.018555,0.000000,0.000000,0.005859,0.921875
25601,132.213699,149.580,nan,0.001077,0.005000,nan,nan,nan,0.914062,0.009766,0.000000,0.012695,0.000000,0.000000,0.008789,0.913086
26625,134.426771,152.580,nan,0.000770,0.005000,nan,nan,nan,0.930664,0.004883,0.000000,0.005859,0.000000,0.000000,0.004883,0.929688
27649,137.369786,156.190,nan,0.000900,0.005000,nan,nan,nan,0.896484,0.005859,0.000000,0.013672,0.002930,0.000000,0.003906,0.893555
28673,134.315792,153.450,nan,0.001712,0.005000,nan,nan,nan,0.889648,0.005859,0.000000,0.017578,0.000000,0.000000,0.005859,0.887695
29697,135.636362,155.390,nan,0.001192,0.005000,nan,nan,nan,0.909180,0.006836,0.000000,0.006836,0.006836,0.000000,0.004883,0.907227
30721,143.233390,164.410,nan,0.001517,0.005000,nan,nan,nan,0.931641,0.001953,0.000000,0.004883,0.000000,0.000000,0.001953,0.931641
31745,142.631840,165.340,nan,0.001185,0.005000,nan,nan,nan,0.945312,0.003906,0.000000,0.025391,0.000000,0.000000,0.003906,0.944336
32769,145.605752,170.660,nan,0.001702,0.005000,nan,nan,nan,0.931641,0.006836,0.000000,0.023438,0.000000,0.000000,0.005859,0.930664
33793,136.254931,161.250,nan,0.001037,0.005000,nan,nan,nan,0.910156,0.004883,0.000000,0.007812,0.000000,0.000000,0.003906,0.909180
34817,136.901671,162.910,nan,0.001794,0.005000,nan,nan,nan,0.917969,0.004883,0.000000,0.006836,0.000000,0.000000,0.003906,0.916992
35841,142.830936,170.360,nan,0.002926,0.005000,nan,nan,nan,0.923828,0.003906,0.000000,0.010742,0.004883,0.000000,0.003906,0.923828
36865,142.830936,170.360,nan,0.001114,0.005000,nan,nan,nan,0.939453,0.000000,0.000000,0.002930,0.000000,0.000000,0.000000,0.939453
37889,149.309311,179.130,nan,0.001241,0.005000,nan,nan,nan,0.917969,0.002930,0.000000,0.018555,0.000000,0.000000,0.002930,0.917969
38913,154.849388,185.650,nan,0.001446,0.005000,nan,nan,nan,0.899414,0.002930,0.000000,0.008789,0.000000,0.000000,0.002930,0.898438
