timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,16.718417,72.214,nan,0.285194,0.993397,nan,nan,nan,0.961914,0.013672,0.017578,0.059570,0.000000,0.000000,0.011719,0.958008
2049,10.975010,51.658,nan,0.336209,0.744512,nan,nan,nan,0.956055,0.022461,0.011719,0.049805,0.027344,0.000000,0.017578,0.950195
3073,9.821549,45.716,nan,0.438944,0.565087,nan,nan,nan,0.946289,0.027344,0.006836,0.068359,0.023438,0.000000,0.026367,0.944336
4097,9.352774,43.602,nan,0.572568,0.434362,nan,nan,nan,0.957031,0.024414,0.004883,0.052734,0.016602,0.000000,0.018555,0.949219
5121,7.308831,36.260,nan,0.879731,0.338188,nan,nan,nan,0.944336,0.030273,0.041016,0.051758,0.041016,0.000000,0.026367,0.939453
6145,6.088947,33.540,nan,0.831166,0.266599,nan,nan,nan,0.954102,0.026367,0.001953,0.026367,0.007812,0.000000,0.021484,0.947266
7169,7.835969,39.680,nan,1.062142,0.212950,nan,nan,nan,0.963867,0.015625,0.000000,0.031250,0.000000,0.000000,0.013672,0.960938
8193,8.943368,45.230,nan,3.410027,0.172246,nan,nan,nan,0.956055,0.010742,0.000000,0.030273,0.002930,0.000000,0.009766,0.955078
9217,10.714428,52.120,nan,1.038141,0.141258,nan,nan,nan,0.956055,0.009766,0.000000,0.046875,0.000000,0.000000,0.009766,0.955078
10241,11.491983,55.270,nan,0.872720,0.117372,nan,nan,nan,0.961914,0.004883,0.000000,0.034180,0.004883,0.000000,0.002930,0.959961
11265,15.011629,63.330,nan,1.295044,0.098774,nan,nan,nan,0.970703,0.002930,0.000000,0.013672,0.000000,0.000000,0.002930,0.970703
12289,21.030147,77.350,nan,1.999235,0.084152,nan,nan,nan,0.959961,0.002930,0.000000,0.016602,0.000000,0.000000,0.002930,0.958984
13313,26.285539,86.760,nan,0.653313,0.072622,nan,nan,nan,0.970703,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.970703
14337,31.921732,96.690,nan,0.857811,0.063421,nan,nan,nan,0.960938,0.001953,0.000000,0.010742,0.000000,0.000000,0.001953,0.960938
15361,36.206178,104.690,nan,0.605449,0.056067,nan,nan,nan,0.964844,0.000000,0.004883,0.000000,0.004883,0.000000,0.000000,0.964844
16385,43.402623,117.240,nan,0.587200,0.050234,nan,nan,nan,0.976562,0.000977,0.005859,0.002930,0.005859,0.000000,0.000977,0.976562
17409,43.402623,117.240,nan,0.230251,0.045583,nan,nan,nan,0.969727,0.000000,0.000000,0.008789,0.000000,0.000000,0.000000,0.969727
18433,55.807737,137.510,nan,0.140005,0.041864,nan,nan,nan,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750
19457,55.807737,137.510,nan,0.327379,0.038909,nan,nan,nan,0.966797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.966797
20481,67.459263,157.400,nan,0.110732,0.036601,nan,nan,nan,0.976562,0.000977,0.000000,0.003906,0.000000,0.000000,0.000000,0.974609
21505,67.459263,157.400,nan,0.254470,0.034860,nan,nan,nan,0.972656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.972656
22529,79.268643,177.760,nan,0.079176,0.033608,nan,nan,nan,0.978516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978516
23553,79.268643,177.760,nan,0.338452,0.032808,nan,nan,nan,0.966797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.966797
24577,90.049973,197.790,nan,0.703235,0.032432,nan,nan,nan,0.980469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.980469
