timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,11.948904,47.857,nan,nan,nan,nan,nan,nan,0.948242,0.020508,0.004883,0.039062,0.035156,0.000000,0.017578,0.944336
2049,10.891109,45.302,nan,nan,nan,nan,nan,nan,0.962891,0.021484,0.058594,0.071289,0.039062,0.000000,0.017578,0.951172
3073,10.082249,47.169,nan,nan,nan,nan,nan,nan,0.948242,0.020508,0.036133,0.054688,0.025391,0.000000,0.019531,0.943359
4097,9.371536,43.609,nan,nan,nan,nan,nan,nan,0.957031,0.026367,0.012695,0.040039,0.028320,0.000000,0.020508,0.951172
5121,10.323685,47.680,nan,0.073530,0.930926,nan,nan,nan,0.955078,0.014648,0.006836,0.064453,0.017578,0.000000,0.013672,0.953125
6145,10.163457,47.590,nan,0.168924,0.503599,nan,nan,nan,0.961914,0.026367,0.013672,0.057617,0.021484,0.000000,0.021484,0.957031
7169,8.832638,42.380,nan,0.596874,0.272768,nan,nan,nan,0.951172,0.023438,0.015625,0.035156,0.028320,0.000000,0.019531,0.944336
8193,10.168099,46.900,nan,0.971972,0.148136,nan,nan,nan,0.959961,0.016602,0.013672,0.017578,0.022461,0.000000,0.015625,0.958008
9217,9.334134,40.830,nan,0.340119,0.080491,nan,nan,nan,0.941406,0.030273,0.001953,0.041016,0.009766,0.000000,0.027344,0.934570
10241,9.001999,39.700,nan,1.010985,0.043762,nan,nan,nan,0.947266,0.025391,0.003906,0.031250,0.015625,0.000000,0.020508,0.939453
11265,13.069556,43.230,nan,0.397353,0.024466,nan,nan,nan,0.946289,0.016602,0.003906,0.024414,0.003906,0.000000,0.014648,0.943359
12289,20.263493,51.400,nan,0.153216,0.014314,nan,nan,nan,0.958984,0.008789,0.000000,0.041016,0.000977,0.000000,0.007812,0.956055
13313,21.031759,53.460,nan,0.085390,0.008628,nan,nan,nan,0.962891,0.002930,0.000000,0.022461,0.000000,0.000000,0.002930,0.960938
14337,28.019431,66.490,nan,0.073449,0.006131,nan,nan,nan,0.941406,0.004883,0.000000,0.012695,0.000000,0.000000,0.004883,0.941406
15361,31.237394,69.550,nan,0.037245,0.006012,nan,nan,nan,0.910156,0.003906,0.000000,0.002930,0.003906,0.000000,0.001953,0.908203
16385,37.325480,75.590,nan,0.020808,0.006301,nan,nan,nan,0.904297,0.001953,0.000000,0.007812,0.000000,0.000000,0.001953,0.903320
17409,52.762542,92.060,nan,0.033065,0.005307,nan,nan,nan,0.929688,0.001953,0.000000,0.014648,0.000000,0.000000,0.001953,0.929688
18433,61.360132,100.220,nan,0.012808,0.004633,nan,nan,nan,0.922852,0.002930,0.000000,0.005859,0.004883,0.000000,0.002930,0.921875
19457,71.931689,109.730,nan,0.019896,0.004672,nan,nan,nan,0.900391,0.009766,0.014648,0.029297,0.017578,0.000977,0.009766,0.897461
20481,78.958184,112.450,nan,0.016620,0.003929,nan,nan,nan,0.915039,0.010742,0.002930,0.024414,0.010742,0.000000,0.010742,0.911133
21505,89.020099,119.050,nan,0.013601,0.003409,nan,nan,nan,0.918945,0.012695,0.000000,0.029297,0.006836,0.001953,0.011719,0.916016
22529,96.888966,123.040,nan,0.014756,0.003197,nan,nan,nan,0.957031,0.015625,0.008789,0.021484,0.034180,0.000000,0.010742,0.948242
23553,97.984588,124.150,nan,0.007246,0.003620,nan,nan,nan,0.934570,0.005859,0.004883,0.020508,0.013672,0.000000,0.005859,0.932617
24577,107.371916,131.390,nan,0.009968,0.003512,nan,nan,nan,0.951172,0.009766,0.006836,0.010742,0.013672,0.000000,0.005859,0.947266
