timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,15.063559,70.000,nan,nan,nan,nan,nan,nan,0.957031,0.012695,0.002930,0.053711,0.021484,0.000000,0.010742,0.953125
2049,11.856202,55.111,nan,nan,nan,nan,nan,nan,0.953125,0.020508,0.000977,0.058594,0.008789,0.000000,0.016602,0.947266
3073,14.218096,60.255,nan,nan,nan,nan,nan,nan,0.958984,0.014648,0.004883,0.068359,0.012695,0.000000,0.013672,0.957031
4097,12.512386,53.541,nan,nan,nan,nan,nan,nan,0.953125,0.022461,0.004883,0.064453,0.020508,0.000000,0.019531,0.947266
5121,12.545628,51.091,nan,0.142735,0.930926,nan,nan,nan,0.942383,0.024414,0.006836,0.065430,0.006836,0.000000,0.020508,0.936523
6145,11.533407,44.920,nan,0.448684,0.503606,nan,nan,nan,0.957031,0.025391,0.007812,0.039062,0.016602,0.000000,0.021484,0.951172
7169,9.927586,37.450,nan,0.986407,0.272611,nan,nan,nan,0.951172,0.031250,0.006836,0.035156,0.022461,0.000000,0.025391,0.945312
8193,9.436521,36.370,nan,0.588670,0.148140,nan,nan,nan,0.950195,0.029297,0.022461,0.043945,0.022461,0.000000,0.027344,0.943359
9217,9.246325,36.090,nan,0.795222,0.080179,nan,nan,nan,0.963867,0.022461,0.009766,0.029297,0.012695,0.000000,0.019531,0.956055
10241,9.019215,38.890,nan,0.627957,0.044341,nan,nan,nan,0.954102,0.016602,0.006836,0.043945,0.000977,0.000000,0.014648,0.950195
11265,10.020057,43.490,nan,0.221944,0.025435,nan,nan,nan,0.954102,0.019531,0.002930,0.029297,0.004883,0.000000,0.016602,0.947266
12289,11.950901,50.320,nan,0.242792,0.014468,nan,nan,nan,0.952148,0.009766,0.000000,0.023438,0.000000,0.000000,0.007812,0.946289
13313,12.951524,59.000,nan,0.257105,0.008808,nan,nan,nan,0.956055,0.006836,0.000000,0.032227,0.000000,0.000000,0.006836,0.955078
14337,13.845761,65.140,nan,0.169862,0.006560,nan,nan,nan,0.937500,0.011719,0.001953,0.020508,0.001953,0.000977,0.009766,0.935547
15361,13.989097,70.740,nan,0.065997,0.005982,nan,nan,nan,0.936523,0.012695,0.007812,0.023438,0.010742,0.000000,0.012695,0.935547
16385,18.858758,79.780,nan,0.041305,0.007285,nan,nan,nan,0.971680,0.005859,0.006836,0.023438,0.007812,0.000977,0.005859,0.969727
17409,21.580410,86.020,nan,0.043107,0.007357,nan,nan,nan,0.972656,0.003906,0.030273,0.006836,0.004883,0.000000,0.003906,0.970703
18433,24.699551,94.820,nan,0.063044,0.006593,nan,nan,nan,0.958984,0.004883,0.000000,0.007812,0.000000,0.000000,0.004883,0.958984
19457,30.449902,103.430,nan,0.066751,0.006458,nan,nan,nan,0.959961,0.001953,0.000000,0.023438,0.000000,0.000000,0.001953,0.957031
20481,30.469112,104.870,nan,0.028676,0.005884,nan,nan,nan,0.944336,0.000977,0.000000,0.000977,0.003906,0.000000,0.000977,0.944336
21505,41.427761,121.370,nan,0.071938,0.005421,nan,nan,nan,0.959961,0.003906,0.000000,0.005859,0.000000,0.000000,0.002930,0.958984
22529,49.538467,131.160,nan,0.013245,0.005060,nan,nan,nan,0.935547,0.002930,0.002930,0.007812,0.001953,0.000000,0.002930,0.934570
23553,52.279295,136.590,nan,0.032887,0.004946,nan,nan,nan,0.969727,0.006836,0.000000,0.026367,0.005859,0.000000,0.003906,0.964844
24577,56.911310,140.820,nan,0.012527,0.004970,nan,nan,nan,0.951172,0.006836,0.000000,0.022461,0.000000,0.000000,0.004883,0.948242
25601,59.633046,148.860,nan,0.015098,0.005045,nan,nan,nan,0.932617,0.003906,0.003906,0.002930,0.002930,0.000000,0.003906,0.932617
26625,61.751451,153.490,nan,0.010899,0.004861,nan,nan,nan,0.965820,0.001953,0.000000,0.002930,0.000000,0.000000,0.001953,0.965820
27649,69.203329,165.100,nan,0.117392,0.004608,nan,nan,nan,0.958984,0.006836,0.000000,0.015625,0.011719,0.000000,0.003906,0.954102
28673,73.529876,175.030,nan,0.009792,0.004595,nan,nan,nan,0.971680,0.004883,0.000000,0.015625,0.000000,0.000000,0.003906,0.969727
29697,78.062393,181.130,nan,0.010283,0.004212,nan,nan,nan,0.958008,0.003906,0.011719,0.032227,0.013672,0.000000,0.003906,0.954102
30721,85.876530,185.120,nan,0.008169,0.003874,nan,nan,nan,0.929688,0.005859,0.000000,0.003906,0.000000,0.000000,0.005859,0.929688
31745,92.380471,184.660,nan,0.010382,0.003694,nan,nan,nan,0.924805,0.003906,0.000000,0.027344,0.000000,0.000000,0.003906,0.924805
32769,101.957027,195.780,nan,0.013529,0.003820,nan,nan,nan,0.941406,0.000977,0.000000,0.012695,0.000000,0.000000,0.000977,0.941406
33793,102.298186,195.200,nan,0.006037,0.003475,nan,nan,nan,0.955078,0.001953,0.000000,0.005859,0.000000,0.000000,0.000977,0.954102
34817,118.036208,212.150,nan,0.011502,0.003230,nan,nan,nan,0.948242,0.004883,0.000000,0.030273,0.008789,0.000000,0.004883,0.945312
35841,124.348246,218.620,nan,0.004347,0.002977,nan,nan,nan,0.933594,0.000977,0.002930,0.006836,0.001953,0.000000,0.000977,0.931641
36865,136.501082,227.030,nan,0.018492,0.002617,nan,nan,nan,0.940430,0.003906,0.000000,0.012695,0.000000,0.000000,0.002930,0.939453
37889,141.821384,228.180,nan,0.007004,0.002544,nan,nan,nan,0.950195,0.005859,0.000000,0.012695,0.001953,0.000977,0.004883,0.948242
38913,150.803666,233.930,nan,0.007754,0.002537,nan,nan,nan,0.919922,0.008789,0.000000,0.007812,0.002930,0.000000,0.005859,0.916992
39937,155.707422,238.230,nan,0.008434,0.002534,nan,nan,nan,0.930664,0.000000,0.004883,0.021484,0.014648,0.000000,0.000000,0.930664
40961,161.150452,241.790,nan,0.005370,0.002619,nan,nan,nan,0.931641,0.002930,0.000000,0.020508,0.009766,0.000000,0.002930,0.931641
41985,172.928284,252.430,nan,0.004245,0.002367,nan,nan,nan,0.909180,0.001953,0.000000,0.004883,0.000977,0.000000,0.001953,0.909180
43009,179.621497,256.200,nan,0.005615,0.002287,nan,nan,nan,0.940430,0.003906,0.000000,0.028320,0.003906,0.000000,0.003906,0.940430
44033,188.089086,262.910,nan,0.007035,0.002196,nan,nan,nan,0.921875,0.001953,0.000000,0.000977,0.000000,0.000000,0.001953,0.921875
45057,185.047348,254.070,nan,0.014334,0.001985,nan,nan,nan,0.915039,0.005859,0.011719,0.022461,0.021484,0.000000,0.005859,0.913086
46081,172.575973,230.330,nan,0.012010,0.001870,nan,nan,nan,0.916992,0.009766,0.003906,0.030273,0.000000,0.000000,0.007812,0.910156
47105,183.972412,238.530,nan,0.013659,0.001807,nan,nan,nan,0.900391,0.001953,0.014648,0.006836,0.000000,0.000000,0.001953,0.899414
48129,189.286746,243.170,nan,0.018467,0.001733,nan,nan,nan,0.910156,0.001953,0.000000,0.017578,0.000000,0.000000,0.001953,0.907227
49153,199.718640,249.130,nan,0.064543,0.001572,nan,nan,nan,0.933594,0.004883,0.000000,0.032227,0.000000,0.000000,0.004883,0.931641
50177,203.838579,251.440,nan,0.053640,0.001556,nan,nan,nan,0.913086,0.002930,0.000000,0.022461,0.004883,0.000000,0.002930,0.912109
51201,204.732110,238.710,nan,0.020233,0.001352,nan,nan,nan,0.895508,0.008789,0.000000,0.022461,0.000977,0.000000,0.007812,0.894531
52225,209.204157,240.350,nan,0.018142,0.001252,nan,nan,nan,0.900391,0.004883,0.000000,0.034180,0.000000,0.000000,0.004883,0.899414
53249,211.131035,231.870,nan,0.044061,0.001084,nan,nan,nan,0.888672,0.007812,0.000000,0.009766,0.000000,0.000000,0.006836,0.886719
54273,214.208991,235.200,nan,0.025653,0.001042,nan,nan,nan,0.874023,0.004883,0.000000,0.019531,0.007812,0.000000,0.004883,0.871094
55297,205.477879,223.260,nan,0.028120,0.000977,nan,nan,nan,0.860352,0.005859,0.004883,0.007812,0.000000,0.000000,0.005859,0.859375
56321,199.843359,215.690,nan,0.049666,0.001027,nan,nan,nan,0.866211,0.001953,0.038086,0.000000,0.017578,0.000000,0.000977,0.863281
57345,187.037029,201.380,nan,0.035030,0.001016,nan,nan,nan,0.890625,0.010742,0.010742,0.025391,0.017578,0.000977,0.007812,0.884766
58369,183.266241,196.460,nan,0.049637,0.000920,nan,nan,nan,0.901367,0.008789,0.031250,0.014648,0.025391,0.000000,0.008789,0.899414
59393,152.298576,160.030,nan,0.140261,0.000906,nan,nan,nan,0.881836,0.011719,0.000000,0.034180,0.022461,0.000977,0.009766,0.876953
60417,148.346299,157.080,nan,0.038409,0.000931,nan,nan,nan,0.865234,0.000977,0.000000,0.021484,0.000000,0.000000,0.000977,0.865234
61441,165.928896,172.050,nan,0.032371,0.000781,nan,nan,nan,0.872070,0.001953,0.000000,0.000000,0.002930,0.000000,0.001953,0.872070
62465,176.974323,180.550,nan,0.031352,0.000701,nan,nan,nan,0.881836,0.001953,0.000000,0.016602,0.005859,0.000000,0.001953,0.881836
63489,180.288075,178.620,nan,0.055983,0.000639,nan,nan,nan,0.866211,0.005859,0.000000,0.020508,0.005859,0.000977,0.003906,0.864258
64513,186.473609,183.840,nan,0.038915,0.000770,nan,nan,nan,0.873047,0.003906,0.000000,0.011719,0.000977,0.000977,0.003906,0.871094
65537,167.693337,166.100,nan,0.127305,0.000813,nan,nan,nan,0.893555,0.008789,0.000000,0.015625,0.007812,0.000000,0.005859,0.889648
66561,177.716492,174.460,nan,0.450619,0.000849,nan,nan,nan,0.897461,0.000977,0.000000,0.032227,0.000000,0.000977,0.000977,0.895508
67585,175.246877,170.340,nan,2.777929,0.000865,nan,nan,nan,0.894531,0.007812,0.004883,0.018555,0.011719,0.000000,0.005859,0.890625
68609,157.758060,153.980,nan,0.475715,0.000952,nan,nan,nan,0.889648,0.014648,0.001953,0.025391,0.013672,0.000977,0.010742,0.884766
69633,152.764356,147.720,nan,0.191861,0.000938,nan,nan,nan,0.868164,0.008789,0.005859,0.017578,0.012695,0.000000,0.007812,0.865234
70657,153.477693,147.070,nan,0.351599,0.000878,nan,nan,nan,0.886719,0.006836,0.000000,0.005859,0.001953,0.001953,0.006836,0.886719
71681,153.180457,143.880,nan,0.284711,0.000887,nan,nan,nan,0.876953,0.008789,0.000000,0.021484,0.005859,0.000977,0.008789,0.875000
72705,152.891824,143.470,nan,0.058189,0.000776,nan,nan,nan,0.886719,0.008789,0.000000,0.023438,0.003906,0.000000,0.007812,0.884766
73729,149.764185,138.480,nan,0.178062,0.000744,nan,nan,nan,0.883789,0.016602,0.000000,0.027344,0.000977,0.000977,0.014648,0.880859
74753,126.531834,118.710,nan,0.351276,0.000661,nan,nan,nan,0.875000,0.006836,0.000000,0.018555,0.007812,0.000000,0.004883,0.873047
75777,112.107539,105.920,nan,0.039191,0.000662,nan,nan,nan,0.874023,0.011719,0.000000,0.036133,0.012695,0.001953,0.009766,0.868164
