timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,10.650050,53.737,nan,nan,nan,nan,nan,nan,0.957031,0.017578,0.022461,0.030273,0.041992,0.000000,0.014648,0.954102
2049,7.949843,40.061,nan,nan,nan,nan,nan,nan,0.943359,0.029297,0.022461,0.070312,0.034180,0.000000,0.025391,0.933594
3073,5.879012,36.024,nan,nan,nan,nan,nan,nan,0.946289,0.033203,0.037109,0.047852,0.007812,0.000000,0.028320,0.938477
4097,5.710354,33.960,nan,nan,nan,nan,nan,nan,0.949219,0.027344,0.014648,0.072266,0.037109,0.000000,0.022461,0.942383
5121,8.431269,38.220,nan,0.002329,0.005000,nan,nan,nan,0.946289,0.018555,0.000000,0.092773,0.009766,0.000000,0.016602,0.942383
6145,12.723125,32.860,nan,0.002478,0.005000,nan,nan,nan,0.767578,0.035156,0.015625,0.033203,0.101562,0.000000,0.029297,0.741211
7169,20.777885,40.100,nan,0.001223,0.005000,nan,nan,nan,0.789062,0.005859,0.000000,0.009766,0.035156,0.000000,0.004883,0.785156
8193,29.625917,49.510,nan,0.001304,0.005000,nan,nan,nan,0.872070,0.006836,0.000000,0.018555,0.001953,0.000000,0.006836,0.871094
9217,35.089348,57.350,nan,0.000884,0.005000,nan,nan,nan,0.923828,0.005859,0.000000,0.024414,0.000000,0.000000,0.003906,0.918945
10241,42.724747,65.370,nan,0.000888,0.005000,nan,nan,nan,0.908203,0.005859,0.000000,0.009766,0.000000,0.000977,0.005859,0.907227
11265,50.084898,72.090,nan,0.000851,0.005000,nan,nan,nan,0.922852,0.003906,0.000000,0.019531,0.000000,0.000000,0.003906,0.920898
12289,61.717013,82.060,nan,0.010044,0.005000,nan,nan,nan,0.911133,0.005859,0.000000,0.012695,0.006836,0.000000,0.004883,0.909180
13313,66.145042,86.580,nan,0.000954,0.005000,nan,nan,nan,0.903320,0.002930,0.007812,0.015625,0.009766,0.000000,0.002930,0.901367
14337,79.304875,99.830,nan,0.000810,0.005000,nan,nan,nan,0.923828,0.003906,0.000000,0.023438,0.000000,0.000000,0.003906,0.921875
15361,84.851512,105.040,nan,0.000570,0.005000,nan,nan,nan,0.901367,0.002930,0.000000,0.002930,0.000977,0.000000,0.000977,0.899414
16385,97.813883,115.710,nan,0.000694,0.005000,nan,nan,nan,0.900391,0.004883,0.000000,0.015625,0.001953,0.000000,0.004883,0.900391
17409,102.959241,120.190,nan,0.001248,0.005000,nan,nan,nan,0.895508,0.005859,0.001953,0.015625,0.008789,0.000000,0.003906,0.890625
18433,113.129740,130.830,nan,0.001282,0.005000,nan,nan,nan,0.904297,0.002930,0.002930,0.005859,0.012695,0.000000,0.002930,0.904297
19457,122.187627,139.600,nan,0.000541,0.005000,nan,nan,nan,0.911133,0.000977,0.000000,0.006836,0.000977,0.000000,0.000977,0.911133
20481,136.080078,151.870,nan,0.006029,0.005000,nan,nan,nan,0.867188,0.001953,0.000000,0.006836,0.000000,0.000000,0.001953,0.867188
21505,145.576346,161.660,nan,0.001005,0.005000,nan,nan,nan,0.915039,0.006836,0.000000,0.015625,0.005859,0.000000,0.005859,0.913086
22529,145.576346,161.660,nan,0.000673,0.005000,nan,nan,nan,0.891602,0.000000,0.000000,0.006836,0.000000,0.000000,0.000000,0.891602
23553,166.646634,181.770,nan,0.000598,0.005000,nan,nan,nan,0.907227,0.000977,0.000000,0.000000,0.000000,0.000000,0.000000,0.906250
24577,174.801297,190.000,nan,0.003060,0.005000,nan,nan,nan,0.900391,0.003906,0.000000,0.002930,0.009766,0.000000,0.003906,0.899414
25601,181.331504,196.060,nan,0.000638,0.005000,nan,nan,nan,0.914062,0.002930,0.000000,0.018555,0.000000,0.000000,0.001953,0.911133
26625,189.745891,204.070,nan,0.000676,0.005000,nan,nan,nan,0.905273,0.000977,0.000000,0.010742,0.000000,0.000000,0.000977,0.905273
27649,199.564394,213.570,nan,0.000708,0.005000,nan,nan,nan,0.899414,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.899414
28673,199.564394,213.570,nan,0.000775,0.005000,nan,nan,nan,0.907227,0.000000,0.000000,0.006836,0.000000,0.000000,0.000000,0.907227
29697,221.015994,233.960,nan,0.001086,0.005000,nan,nan,nan,0.920898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920898
30721,221.015994,233.960,nan,0.001826,0.005000,nan,nan,nan,0.912109,0.000000,0.000000,0.004883,0.000000,0.000000,0.000000,0.912109
31745,241.031864,254.120,nan,0.000661,0.005000,nan,nan,nan,0.912109,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.912109
32769,251.578271,264.510,nan,0.000909,0.005000,nan,nan,nan,0.924805,0.001953,0.000000,0.002930,0.000000,0.000000,0.001953,0.923828
33793,267.320415,280.060,nan,0.004764,0.005000,nan,nan,nan,0.911133,0.000977,0.000000,0.011719,0.000000,0.000000,0.000977,0.910156
34817,274.263737,286.920,nan,0.003546,0.005000,nan,nan,nan,0.932617,0.005859,0.024414,0.014648,0.000000,0.000000,0.003906,0.928711
35841,275.776683,288.620,nan,0.001404,0.005000,nan,nan,nan,0.931641,0.000977,0.000000,0.002930,0.000000,0.000000,0.000977,0.931641
36865,294.405996,307.520,nan,0.002173,0.005000,nan,nan,nan,0.903320,0.001953,0.000000,0.007812,0.000000,0.000000,0.001953,0.902344
37889,294.405996,307.520,nan,0.003728,0.005000,nan,nan,nan,0.917969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917969
38913,310.536482,324.130,nan,0.001355,0.005000,nan,nan,nan,0.947266,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.947266
39937,322.068129,336.380,nan,0.002290,0.005000,nan,nan,nan,0.932617,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.932617
40961,322.068129,336.380,nan,0.001274,0.005000,nan,nan,nan,0.938477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.938477
41985,339.565796,354.740,nan,0.000510,0.005000,nan,nan,nan,0.929688,0.000000,0.000000,0.008789,0.000000,0.000000,0.000000,0.927734
43009,349.516310,365.480,nan,0.000804,0.005000,nan,nan,nan,0.941406,0.001953,0.000000,0.006836,0.000000,0.000000,0.001953,0.941406
44033,349.516310,365.480,nan,0.001568,0.005000,nan,nan,nan,0.952148,0.000000,0.000000,0.013672,0.000000,0.000000,0.000000,0.950195
45057,368.648958,385.950,nan,0.001910,0.005000,nan,nan,nan,0.940430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.940430
46081,368.830335,386.900,nan,0.000913,0.005000,nan,nan,nan,0.937500,0.002930,0.000000,0.004883,0.000000,0.000000,0.002930,0.937500
47105,370.467767,388.470,nan,0.000849,0.005000,nan,nan,nan,0.929688,0.000977,0.000000,0.000000,0.000000,0.000000,0.000977,0.929688
