timestep,raw_steer,raw_throttle
10,0.655262,0.631664
20,-0.546181,0.669814
30,-0.720406,0.114530
40,0.114064,0.783898
50,-0.763988,0.961898
60,-0.135814,0.627309
70,0.565470,0.082730
80,0.453989,0.768647
90,0.783355,0.748608
100,-0.607131,0.310324
110,0.855125,0.397578
120,-0.964326,0.109144
130,-0.866882,0.594434
140,0.750010,0.851132
150,0.558955,0.642483
160,-0.406247,0.948858
170,-0.831014,0.935940
180,-0.015694,0.599593
190,-0.233360,0.729686
200,-0.082904,0.442314
210,-0.603592,0.910638
220,0.490376,0.630012
230,0.568162,0.636408
240,0.269258,0.411811
250,-0.278685,0.512739
260,-0.970634,0.827173
270,-0.668186,0.836304
280,0.172890,0.493290
290,0.700549,0.340591
300,0.963612,0.620358
310,-0.752260,0.040947
320,0.547441,0.865457
330,0.180640,0.396940
340,-0.731266,0.365378
350,0.306878,0.299383
360,0.305844,0.955349
370,-0.211748,0.416610
380,-0.902861,0.460770
390,0.545875,0.855492
400,0.450367,0.708091
410,0.243584,0.273187
420,-0.161455,0.514583
430,-0.241895,0.517020
440,0.217482,0.580989
450,-0.628468,0.522012
460,-0.391067,0.552898
470,0.792244,0.100396
480,-0.018784,0.529746
490,0.063772,0.187239
500,0.986737,0.280896
510,-0.919493,0.449633
520,-0.119900,0.125807
530,0.084158,0.701391
540,0.264405,0.334111
550,0.721140,0.167700
560,-0.458736,0.884849
570,-0.897162,0.672264
580,-0.127367,0.774624
590,-0.561622,0.208379
600,-0.421833,0.734725
610,0.353305,0.066079
620,-0.647723,0.134692
630,0.052121,0.996677
640,0.732289,0.589331
650,0.446228,0.389097
660,0.486920,0.852145
670,0.756295,0.374464
680,0.380254,0.163392
690,0.268469,0.429026
700,0.134896,0.397233
710,0.797843,0.971804
720,0.872354,0.977193
730,0.891387,0.378310
740,-0.027439,0.477947
750,-0.304653,0.662530
760,-0.691154,0.197667
770,0.630146,0.448241
780,0.285997,0.867172
790,0.989648,0.872912
800,0.623976,0.264712
810,0.988156,0.038644
820,-0.508249,0.729815
830,-0.201609,0.035117
840,0.753356,0.527458
850,0.921252,0.721836
860,0.316962,0.829595
870,0.062585,0.779270
880,0.805785,0.921898
890,-0.307872,0.467652
900,0.108571,0.621862
910,-0.001612,0.619719
920,0.538485,0.733466
930,-0.499134,0.262871
940,0.094566,0.560777
950,-0.870106,0.054935
960,0.198854,0.953148
970,-0.508868,0.042552
980,0.699578,0.613828
990,0.468293,0.215244
1000,0.691399,0.520072
1010,0.228772,0.373718
1020,0.202746,0.763844
1030,-0.738157,0.051721
1040,-0.397199,0.031070
1050,-0.752124,0.238466
1060,-0.783501,0.240249
1070,0.529513,0.844272
1080,-0.171645,0.042458
1090,-0.486556,0.969772
1100,-0.482886,0.662924
1110,0.894986,0.314717
1120,-0.263312,0.537173
1130,-0.882563,0.429099
1140,0.720692,0.648398
1150,-0.990285,0.729495
1160,-0.007423,0.919246
1170,0.135491,0.069140
1180,0.978184,0.150130
1190,-0.732427,0.693859
1200,-0.752148,0.555256
1210,-0.865251,0.931462
1220,-0.125744,0.756121
1230,-0.453687,0.527400
1240,-0.253233,0.944144
1250,0.638901,0.498600
1260,0.097228,0.215131
1270,-0.975206,0.509735
1280,-0.072561,0.030995
1290,-0.755421,0.926182
1300,0.885009,0.950665
1310,0.646135,0.902150
1320,0.645872,0.198383
1330,-0.788115,0.225775
1340,0.491296,0.341379
1350,-0.213396,0.870733
1360,-0.975718,0.556486
1370,0.413392,0.575295
1380,0.348306,0.525093
1390,-0.480515,0.135221
1400,0.358970,0.770395
1410,-0.130792,0.923313
1420,-0.256577,0.045662
1430,0.495579,0.457897
1440,0.058079,0.000990
1450,0.246143,0.420084
1460,-0.931058,0.708862
1470,-0.510746,0.011187
1480,-0.504106,0.914020
1490,0.432262,0.875100
1500,0.958487,0.098080
1510,-0.347675,0.234672
1520,-0.631380,0.635541
1530,-0.568859,0.269899
1540,0.217616,0.267300
1550,-0.484626,0.169941
1560,-0.458779,0.272836
1570,0.553814,0.376539
1580,0.832052,0.312103
1590,-0.991273,0.507234
1600,-0.691393,0.931795
1610,-0.438823,0.330601
