timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,10.125708,42.417,nan,nan,nan,nan,nan,nan,0.956055,0.023438,0.000000,0.083008,0.027344,0.000000,0.020508,0.949219
2049,12.530598,53.342,nan,nan,nan,nan,nan,nan,0.962891,0.012695,0.016602,0.038086,0.029297,0.000000,0.011719,0.960938
3073,12.024943,53.526,nan,nan,nan,nan,nan,nan,0.958984,0.018555,0.017578,0.044922,0.029297,0.000000,0.015625,0.956055
4097,12.320106,53.200,nan,nan,nan,nan,nan,nan,0.966797,0.017578,0.000977,0.046875,0.023438,0.000000,0.016602,0.963867
5121,11.145138,48.340,nan,0.001390,0.005000,nan,nan,nan,0.940430,0.027344,0.023438,0.036133,0.055664,0.000000,0.023438,0.932617
6145,17.370515,35.240,nan,0.001372,0.005000,nan,nan,nan,0.781250,0.041992,0.005859,0.034180,0.083008,0.000977,0.034180,0.748047
7169,29.102654,36.560,nan,0.001781,0.005000,nan,nan,nan,0.762695,0.014648,0.000000,0.028320,0.020508,0.000000,0.013672,0.753906
8193,40.475596,42.540,nan,0.001028,0.005000,nan,nan,nan,0.910156,0.006836,0.000000,0.004883,0.000000,0.000977,0.005859,0.908203
9217,51.501859,49.920,nan,0.000870,0.005000,nan,nan,nan,0.900391,0.006836,0.000000,0.006836,0.003906,0.001953,0.004883,0.898438
10241,64.070175,58.110,nan,0.001267,0.005000,nan,nan,nan,0.885742,0.008789,0.002930,0.022461,0.005859,0.000000,0.008789,0.885742
11265,71.193870,60.290,nan,0.001583,0.005000,nan,nan,nan,0.908203,0.017578,0.012695,0.025391,0.013672,0.001953,0.014648,0.904297
12289,77.432973,66.680,nan,0.002730,0.005000,nan,nan,nan,0.922852,0.014648,0.005859,0.026367,0.024414,0.001953,0.012695,0.919922
13313,91.053122,77.020,nan,0.002101,0.005000,nan,nan,nan,0.890625,0.006836,0.000000,0.023438,0.005859,0.000000,0.006836,0.888672
14337,97.826894,83.380,nan,0.002208,0.005000,nan,nan,nan,0.895508,0.010742,0.017578,0.028320,0.004883,0.000000,0.009766,0.891602
15361,103.699370,90.210,nan,0.003479,0.005000,nan,nan,nan,0.898438,0.008789,0.000000,0.024414,0.005859,0.000977,0.007812,0.894531
16385,110.245309,95.860,nan,0.000991,0.005000,nan,nan,nan,0.865234,0.007812,0.000000,0.024414,0.008789,0.000000,0.007812,0.862305
17409,98.220188,86.890,nan,0.002999,0.005000,nan,nan,nan,0.897461,0.013672,0.000000,0.038086,0.004883,0.000000,0.011719,0.895508
18433,98.182124,85.580,nan,0.002548,0.005000,nan,nan,nan,0.893555,0.007812,0.000000,0.021484,0.001953,0.000000,0.006836,0.890625
19457,110.183293,93.160,nan,0.000735,0.005000,nan,nan,nan,0.875000,0.004883,0.000000,0.008789,0.000977,0.000977,0.004883,0.875000
20481,119.645427,97.820,nan,0.001297,0.005000,nan,nan,nan,0.873047,0.007812,0.000000,0.016602,0.002930,0.000000,0.004883,0.868164
21505,129.820957,104.540,nan,0.001043,0.005000,nan,nan,nan,0.877930,0.004883,0.000000,0.010742,0.002930,0.000977,0.004883,0.877930
22529,136.040496,109.230,nan,0.000791,0.005000,nan,nan,nan,0.907227,0.002930,0.000000,0.010742,0.000000,0.000000,0.002930,0.907227
23553,147.609911,117.730,nan,0.000978,0.005000,nan,nan,nan,0.884766,0.002930,0.000000,0.006836,0.000000,0.000977,0.002930,0.882812
24577,163.720506,127.600,nan,0.001605,0.005000,nan,nan,nan,0.876953,0.010742,0.000000,0.010742,0.003906,0.000000,0.007812,0.874023
25601,174.327181,133.930,nan,0.005032,0.005000,nan,nan,nan,0.883789,0.007812,0.000000,0.009766,0.000000,0.000977,0.006836,0.882812
26625,168.509851,128.070,nan,0.001020,0.005000,nan,nan,nan,0.897461,0.010742,0.000000,0.014648,0.000000,0.000000,0.006836,0.893555
27649,176.013299,132.570,nan,0.002175,0.005000,nan,nan,nan,0.909180,0.006836,0.002930,0.024414,0.002930,0.000000,0.004883,0.905273
28673,175.396507,130.360,nan,0.000864,0.005000,nan,nan,nan,0.918945,0.008789,0.000000,0.010742,0.004883,0.000000,0.004883,0.915039
29697,184.176240,136.240,nan,0.001374,0.005000,nan,nan,nan,0.912109,0.002930,0.000000,0.008789,0.000000,0.000000,0.002930,0.912109
30721,193.092051,143.150,nan,0.000980,0.005000,nan,nan,nan,0.920898,0.001953,0.000000,0.017578,0.000000,0.000000,0.001953,0.920898
31745,197.143398,146.210,nan,0.002584,0.005000,nan,nan,nan,0.897461,0.007812,0.000000,0.009766,0.000000,0.001953,0.006836,0.896484
32769,212.456418,157.510,nan,0.001177,0.005000,nan,nan,nan,0.940430,0.005859,0.000000,0.016602,0.002930,0.000000,0.005859,0.940430
33793,215.110522,159.650,nan,0.003740,0.005000,nan,nan,nan,0.917969,0.001953,0.008789,0.014648,0.013672,0.000000,0.001953,0.916992
34817,217.505954,161.890,nan,0.001578,0.005000,nan,nan,nan,0.924805,0.009766,0.000000,0.016602,0.000000,0.000000,0.007812,0.920898
35841,219.062494,163.040,nan,0.001073,0.005000,nan,nan,nan,0.918945,0.002930,0.000000,0.011719,0.000977,0.000000,0.002930,0.917969
