timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,13.435267,29.656,nan,0.264073,0.993126,nan,nan,nan,0.857422,0.026367,0.008789,0.083984,0.164062,0.000000,0.021484,0.811523
2049,18.827821,35.034,nan,0.021887,0.730858,nan,nan,nan,0.880859,0.022461,0.008789,0.035156,0.080078,0.000000,0.018555,0.853516
3073,19.947344,36.464,nan,0.072350,0.537996,nan,nan,nan,0.872070,0.020508,0.016602,0.029297,0.120117,0.000000,0.017578,0.846680
4097,21.415860,38.840,nan,0.243161,0.396194,nan,nan,nan,0.871094,0.013672,0.006836,0.062500,0.113281,0.000000,0.008789,0.846680
5121,25.166065,42.910,nan,0.119879,0.291805,nan,nan,nan,0.855469,0.023438,0.001953,0.068359,0.082031,0.000000,0.020508,0.834961
6145,23.151013,41.160,nan,0.280929,0.215020,nan,nan,nan,0.874023,0.021484,0.026367,0.049805,0.109375,0.000000,0.020508,0.848633
7169,26.572855,46.060,nan,0.288567,0.158616,nan,nan,nan,0.862305,0.010742,0.006836,0.037109,0.075195,0.000000,0.010742,0.846680
8193,29.734813,50.050,nan,0.429020,0.117272,nan,nan,nan,0.844727,0.015625,0.009766,0.038086,0.063477,0.000000,0.013672,0.827148
9217,31.928770,51.380,nan,0.644036,0.087702,nan,nan,nan,0.843750,0.006836,0.000000,0.032227,0.010742,0.000000,0.004883,0.833984
10241,42.902228,64.020,nan,0.268301,0.066334,nan,nan,nan,0.876953,0.002930,0.009766,0.001953,0.013672,0.000000,0.001953,0.875000
11265,46.115171,67.800,nan,0.085486,0.050628,nan,nan,nan,0.901367,0.000977,0.000000,0.015625,0.000000,0.000000,0.000977,0.899414
