timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,23.555869,40.160,nan,0.000174,0.005000,nan,nan,nan,0.860352,0.019531,0.012695,0.062500,0.122070,0.000000,0.015625,0.830078
2049,25.184875,42.319,nan,0.001953,0.005000,nan,nan,nan,0.865234,0.016602,0.019531,0.032227,0.123047,0.000000,0.012695,0.847656
3073,22.683471,37.852,nan,0.003634,0.005000,nan,nan,nan,0.863281,0.029297,0.006836,0.053711,0.085938,0.000000,0.025391,0.833008
4097,26.727328,41.765,nan,0.002609,0.005000,nan,nan,nan,0.849609,0.015625,0.000000,0.046875,0.082031,0.000000,0.011719,0.833984
5121,33.489394,48.650,nan,0.002381,0.005000,nan,nan,nan,0.880859,0.001953,0.000000,0.023438,0.003906,0.000000,0.000977,0.875000
6145,43.282305,58.570,nan,0.002907,0.005000,nan,nan,nan,0.860352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.860352
7169,53.392212,68.370,nan,0.002030,0.005000,nan,nan,nan,0.850586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.850586
8193,63.439588,78.410,nan,0.000647,0.005000,nan,nan,nan,0.867188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.867188
9217,67.000662,81.700,nan,0.000857,0.005000,nan,nan,nan,0.843750,0.002930,0.000000,0.002930,0.000000,0.000000,0.001953,0.842773
10241,77.025250,91.570,nan,0.001086,0.005000,nan,nan,nan,0.863281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.863281
11265,87.338254,101.730,nan,0.000467,0.005000,nan,nan,nan,0.855469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.855469
12289,97.379446,111.400,nan,0.001016,0.005000,nan,nan,nan,0.866211,0.000000,0.000000,0.020508,0.000000,0.000000,0.000000,0.862305
13313,114.353405,128.110,nan,0.002174,0.005000,nan,nan,nan,0.854492,0.000977,0.000000,0.002930,0.000000,0.000000,0.000977,0.854492
14337,122.206052,135.430,nan,0.000934,0.005000,nan,nan,nan,0.845703,0.002930,0.000000,0.018555,0.000000,0.000000,0.002930,0.843750
15361,132.036857,145.210,nan,0.001638,0.005000,nan,nan,nan,0.863281,0.000977,0.000000,0.000000,0.000000,0.000000,0.000000,0.862305
16385,135.693833,148.460,nan,0.000412,0.005000,nan,nan,nan,0.847656,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.847656
