timestep,raw_steer,raw_throttle
10,-0.660761,0.500000
20,-0.349301,0.500000
30,-0.858236,0.500000
40,-0.841931,0.500000
50,-0.952255,0.500000
60,0.010319,0.500000
70,-0.517486,0.500000
80,-0.707211,0.500000
90,-0.440964,0.500000
100,0.240463,0.500000
110,-0.028430,0.500000
120,-0.722488,0.500000
130,-0.217192,0.500000
140,-0.701432,0.500000
150,0.327895,0.500000
160,0.678641,0.500000
170,0.190591,0.500000
180,-0.733028,0.500000
190,-0.432195,0.500000
200,-0.617914,0.500000
210,0.623901,0.500000
220,0.924978,0.500000
230,0.690295,0.500000
240,0.499503,0.500000
250,-0.505181,0.500000
260,0.386494,0.500000
270,0.240029,0.500000
280,-0.930638,0.500000
290,0.938294,0.500000
300,0.846868,0.500000
310,-0.001702,0.500000
320,-0.195902,0.500000
330,-0.532333,0.500000
340,-0.684329,0.500000
350,0.411376,0.500000
360,-0.376421,0.500000
370,-0.912092,0.500000
380,0.278063,0.500000
390,-0.898060,0.500000
400,0.378334,0.500000
410,-0.736389,0.500000
420,-0.182145,0.500000
430,-0.708853,0.500000
440,-0.865636,0.500000
450,-0.580660,0.500000
460,0.781410,0.500000
470,0.032648,0.500000
480,0.084146,0.500000
490,0.615784,0.500000
500,-0.029848,0.500000
510,0.636648,0.500000
520,-0.670726,0.500000
530,0.271599,0.500000
540,0.729152,0.500000
550,-0.285452,0.500000
560,0.666329,0.500000
570,0.586092,0.500000
580,-0.045141,0.500000
590,-0.589331,0.500000
600,0.280778,0.500000
610,0.142027,0.500000
620,-0.946387,0.500000
630,-0.601644,0.500000
640,0.576555,0.500000
650,0.250425,0.500000
660,-0.966311,0.500000
670,0.072147,0.500000
680,0.817154,0.500000
690,0.553185,0.500000
700,-0.320151,0.500000
710,0.831149,0.500000
720,0.839470,0.500000
730,-0.041729,0.500000
740,0.101369,0.500000
750,-0.383690,0.500000
760,-0.934120,0.500000
770,-0.039127,0.500000
780,0.357396,0.500000
790,-0.902852,0.500000
800,0.967768,0.500000
810,0.966920,0.500000
820,0.029654,0.500000
830,-0.147407,0.500000
840,-0.773946,0.500000
850,0.202889,0.500000
860,0.761513,0.500000
870,-0.317991,0.500000
880,-0.839621,0.500000
890,0.532897,0.500000
900,0.231610,0.500000
910,0.785049,0.500000
920,-0.917010,0.500000
930,0.067038,0.500000
940,0.364296,0.500000
950,0.110341,0.500000
960,-0.928312,0.500000
970,-0.034148,0.500000
980,0.958188,0.500000
990,-0.343907,0.500000
1000,-0.937244,0.500000
1010,0.650618,0.500000
1020,0.102765,0.500000
1030,0.223364,0.500000
1040,-0.948087,0.500000
1050,0.277218,0.500000
1060,-0.701224,0.500000
1070,0.054998,0.500000
1080,-0.574904,0.500000
1090,0.858542,0.500000
1100,-0.609929,0.500000
1110,0.165890,0.500000
1120,-0.626289,0.500000
1130,0.615371,0.500000
1140,-0.151805,0.500000
1150,-0.277850,0.500000
1160,-0.894978,0.500000
1170,0.734034,0.500000
1180,0.206012,0.500000
1190,-0.555859,0.500000
1200,0.733498,0.500000
1210,0.200586,0.500000
1220,-0.574123,0.500000
1230,0.594719,0.500000
1240,0.168772,0.500000
1250,0.017102,0.500000
1260,-0.646943,0.500000
1270,0.649964,0.500000
1280,-0.427243,0.500000
1290,0.570976,0.500000
1300,-0.270699,0.500000
1310,-0.040788,0.500000
1320,-0.064633,0.500000
1330,0.331881,0.500000
1340,-0.020856,0.500000
1350,0.319833,0.500000
1360,-0.921317,0.500000
1370,0.313084,0.500000
1380,0.752363,0.500000
1390,-0.904686,0.500000
1400,0.332847,0.500000
1410,-0.462940,0.500000
1420,0.053425,0.500000
1430,0.714590,0.500000
1440,0.424416,0.500000
1450,0.173958,0.500000
1460,-0.203030,0.500000
1470,0.867057,0.500000
1480,0.712237,0.500000
1490,-0.152090,0.500000
1500,-0.669249,0.500000
1510,0.856647,0.500000
1520,0.850908,0.500000
1530,0.146044,0.500000
1540,-0.372069,0.500000
1550,-0.345688,0.500000
1560,0.218373,0.500000
1570,0.482946,0.500000
1580,-0.014157,0.500000
1590,-0.813402,0.500000
1600,-0.848135,0.500000
1610,0.124631,0.500000
1620,0.604042,0.500000
1630,0.753618,0.500000
1640,-0.315596,0.500000
1650,-0.514494,0.500000
1660,0.765043,0.500000
1670,0.808529,0.500000
1680,0.495595,0.500000
1690,0.158382,0.500000
1700,0.335416,0.500000
1710,0.049488,0.500000
1720,0.717868,0.500000
1730,0.967274,0.500000
1740,0.946244,0.500000
1750,0.252342,0.500000
1760,0.826067,0.500000
1770,0.697310,0.500000
1780,0.281989,0.500000
1790,-0.550249,0.500000
1800,0.884832,0.500000
1810,0.869135,0.500000
1820,0.876269,0.500000
1830,0.780329,0.500000
1840,0.545844,0.500000
1850,0.256503,0.500000
1860,0.765367,0.500000
1870,-0.270382,0.500000
1880,0.270243,0.500000
1890,0.589489,0.500000
1900,-0.374914,0.500000
1910,0.786036,0.500000
1920,-0.256837,0.500000
1930,0.987559,0.500000
1940,-0.558806,0.500000
1950,-0.563182,0.500000
1960,0.358683,0.500000
1970,0.875047,0.500000
1980,0.346264,0.500000
1990,0.912626,0.500000
2000,0.089366,0.500000
2010,-0.333774,0.500000
