timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,20.512160,36.308,nan,0.000401,0.005000,nan,nan,nan,0.885742,0.024414,0.000000,0.074219,0.141602,0.000000,0.020508,0.856445
2049,22.119796,36.107,nan,0.011411,0.005000,nan,nan,nan,0.860352,0.027344,0.000000,0.041016,0.104492,0.000000,0.022461,0.832031
3073,21.379329,34.034,nan,0.000845,0.005000,nan,nan,nan,0.863281,0.031250,0.004883,0.032227,0.104492,0.000000,0.026367,0.833984
4097,24.143266,37.580,nan,0.001308,0.005000,nan,nan,nan,0.832031,0.016602,0.007812,0.027344,0.068359,0.000000,0.012695,0.815430
5121,30.556224,44.770,nan,0.005564,0.005000,nan,nan,nan,0.824219,0.003906,0.000000,0.013672,0.000977,0.000000,0.003906,0.822266
6145,33.965226,48.370,nan,0.001872,0.005000,nan,nan,nan,0.863281,0.000977,0.000000,0.005859,0.000000,0.000000,0.000977,0.860352
7169,42.573651,56.960,nan,0.002499,0.005000,nan,nan,nan,0.874023,0.000977,0.000000,0.000000,0.000000,0.000000,0.000000,0.873047
8193,52.173781,66.970,nan,0.001955,0.005000,nan,nan,nan,0.877930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.877930
9217,61.400590,76.640,nan,0.001067,0.005000,nan,nan,nan,0.883789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.883789
10241,71.288052,86.620,nan,0.000562,0.005000,nan,nan,nan,0.879883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.879883
11265,81.082819,96.630,nan,0.000801,0.005000,nan,nan,nan,0.888672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.888672
12289,91.259890,106.860,nan,0.001553,0.005000,nan,nan,nan,0.853516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.853516
13313,101.369490,117.090,nan,0.002090,0.005000,nan,nan,nan,0.874023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.874023
14337,111.229929,126.940,nan,0.003019,0.005000,nan,nan,nan,0.869141,0.000977,0.000000,0.000000,0.000000,0.000000,0.000000,0.868164
15361,120.759590,136.210,nan,0.000767,0.005000,nan,nan,nan,0.865234,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.865234
16385,130.319325,145.630,nan,0.000259,0.005000,nan,nan,nan,0.870117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870117
17409,140.333355,155.760,nan,0.000521,0.005000,nan,nan,nan,0.876953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.876953
18433,149.445390,164.320,nan,0.009723,0.005000,nan,nan,nan,0.861328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.861328
19457,159.925176,174.560,nan,0.000500,0.005000,nan,nan,nan,0.844727,0.000977,0.008789,0.000000,0.012695,0.000000,0.000000,0.842773
20481,170.407399,184.790,nan,0.000929,0.005000,nan,nan,nan,0.858398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858398
21505,180.898558,194.740,nan,0.001878,0.005000,nan,nan,nan,0.842773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.842773
22529,194.675590,208.360,nan,0.003693,0.005000,nan,nan,nan,0.859375,0.001953,0.003906,0.019531,0.000000,0.000000,0.001953,0.854492
23553,204.191190,217.570,nan,0.001776,0.005000,nan,nan,nan,0.842773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.842773
24577,214.377623,227.450,nan,0.002916,0.005000,nan,nan,nan,0.850586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.850586
25601,224.688284,237.530,nan,0.004219,0.005000,nan,nan,nan,0.857422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857422
26625,235.143280,247.680,nan,0.003140,0.005000,nan,nan,nan,0.845703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.845703
27649,245.606432,257.910,nan,0.001651,0.005000,nan,nan,nan,0.870117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870117
28673,256.003621,268.140,nan,0.001503,0.005000,nan,nan,nan,0.835938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.835938
29697,259.355866,271.430,nan,0.002061,0.005000,nan,nan,nan,0.840820,0.000977,0.000000,0.021484,0.000977,0.000000,0.000977,0.838867
30721,277.134141,288.760,nan,0.001234,0.005000,nan,nan,nan,0.858398,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.858398
31745,287.371734,298.760,nan,0.000993,0.005000,nan,nan,nan,0.845703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.845703
32769,290.058156,301.210,nan,0.000927,0.005000,nan,nan,nan,0.852539,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.852539
33793,300.375651,311.190,nan,0.003327,0.005000,nan,nan,nan,0.851562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.851562
34817,310.378623,321.200,nan,0.003718,0.005000,nan,nan,nan,0.860352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.860352
35841,320.226565,331.340,nan,0.002466,0.005000,nan,nan,nan,0.829102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829102
36865,329.900868,341.200,nan,0.002591,0.005000,nan,nan,nan,0.869141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.869141
37889,339.840855,351.310,nan,0.002931,0.005000,nan,nan,nan,0.867188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.867188
38913,349.110921,360.870,nan,0.002610,0.005000,nan,nan,nan,0.863281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.863281
39937,358.791003,370.870,nan,0.004089,0.005000,nan,nan,nan,0.868164,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.866211
40961,368.670054,381.100,nan,0.002500,0.005000,nan,nan,nan,0.851562,0.000000,0.000000,0.019531,0.000000,0.000000,0.000000,0.849609
41985,378.415699,391.050,nan,0.003004,0.005000,nan,nan,nan,0.860352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.860352
43009,388.400953,401.160,nan,0.006713,0.005000,nan,nan,nan,0.849609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.849609
44033,398.402943,411.030,nan,0.003878,0.005000,nan,nan,nan,0.852539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.852539
45057,408.284621,421.010,nan,0.004098,0.005000,nan,nan,nan,0.867188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.867188
46081,418.145651,431.130,nan,0.021154,0.005000,nan,nan,nan,0.838867,0.000000,0.000000,0.001953,0.000000,0.000000,0.000000,0.838867
47105,428.050567,441.240,nan,0.002867,0.005000,nan,nan,nan,0.846680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.846680
48129,437.695739,451.240,nan,0.002304,0.005000,nan,nan,nan,0.866211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866211
49153,447.366079,461.360,nan,0.001273,0.005000,nan,nan,nan,0.865234,0.000000,0.000000,0.011719,0.000000,0.000000,0.000000,0.864258
50177,457.008936,471.350,nan,0.002915,0.005000,nan,nan,nan,0.852539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.852539
51201,465.981787,480.430,nan,0.003912,0.005000,nan,nan,nan,0.831055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.831055
52225,475.853476,490.660,nan,0.002690,0.005000,nan,nan,nan,0.835938,0.000000,0.000000,0.007812,0.000000,0.000000,0.000000,0.833984
53249,485.693539,500.710,nan,0.001287,0.005000,nan,nan,nan,0.827148,0.000000,0.000000,0.029297,0.000000,0.000000,0.000000,0.824219
54273,498.761758,514.200,nan,0.001670,0.005000,nan,nan,nan,0.823242,0.000977,0.000000,0.002930,0.000000,0.000000,0.000977,0.823242
55297,506.202507,521.860,nan,0.002086,0.005000,nan,nan,nan,0.826172,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.826172
56321,518.819683,534.740,nan,0.003526,0.005000,nan,nan,nan,0.858398,0.001953,0.000000,0.008789,0.000000,0.000000,0.000977,0.855469
57345,522.111963,538.080,nan,0.001354,0.005000,nan,nan,nan,0.833984,0.001953,0.000000,0.000977,0.000000,0.000000,0.000977,0.833008
58369,531.765569,548.010,nan,0.001826,0.005000,nan,nan,nan,0.842773,0.000000,0.000000,0.004883,0.000000,0.000000,0.000000,0.841797
59393,541.522383,558.130,nan,0.008707,0.005000,nan,nan,nan,0.856445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.856445
60417,550.575730,567.670,nan,0.002971,0.005000,nan,nan,nan,0.858398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858398
61441,567.848057,585.950,nan,0.002374,0.005000,nan,nan,nan,0.847656,0.000977,0.016602,0.000977,0.001953,0.000000,0.000977,0.845703
