timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1025,21.838923,44.348,nan,0.000252,0.005000,nan,nan,nan,0.860352,0.018555,0.017578,0.060547,0.131836,0.000000,0.012695,0.828125
2049,26.944115,49.462,nan,0.000143,0.005000,nan,nan,nan,0.853516,0.014648,0.009766,0.039062,0.106445,0.000000,0.011719,0.823242
3073,25.765103,46.409,nan,0.000984,0.005000,nan,nan,nan,0.842773,0.024414,0.028320,0.035156,0.106445,0.000000,0.019531,0.821289
4097,25.955437,46.548,nan,0.000882,0.005000,nan,nan,nan,0.863281,0.015625,0.007812,0.042969,0.093750,0.000000,0.012695,0.835938
5121,31.719821,53.021,nan,0.001280,0.005000,nan,nan,nan,0.802734,0.011719,0.000000,0.022461,0.050781,0.000000,0.008789,0.784180
6145,37.370567,58.380,nan,0.002301,0.005000,nan,nan,nan,0.820312,0.007812,0.000000,0.014648,0.011719,0.000000,0.006836,0.817383
7169,46.084691,67.620,nan,0.006313,0.005000,nan,nan,nan,0.852539,0.004883,0.000000,0.014648,0.011719,0.000000,0.004883,0.850586
8193,49.500856,71.500,nan,0.002876,0.005000,nan,nan,nan,0.880859,0.000977,0.000000,0.002930,0.000000,0.000000,0.000977,0.879883
9217,58.309674,81.730,nan,0.008014,0.005000,nan,nan,nan,0.901367,0.000000,0.000000,0.016602,0.000000,0.000000,0.000000,0.897461
10241,66.968430,91.960,nan,0.001256,0.005000,nan,nan,nan,0.874023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.874023
11265,75.576421,101.730,nan,0.001261,0.005000,nan,nan,nan,0.872070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.872070
12289,84.453545,111.340,nan,0.002483,0.005000,nan,nan,nan,0.851562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.851562
13313,93.229215,121.570,nan,0.000776,0.005000,nan,nan,nan,0.843750,0.000977,0.000000,0.000000,0.000000,0.000000,0.000000,0.842773
14337,101.770512,130.790,nan,0.018470,0.005000,nan,nan,nan,0.857422,0.000977,0.000000,0.014648,0.000000,0.000000,0.000000,0.854492
15361,110.762892,140.770,nan,0.001828,0.005000,nan,nan,nan,0.852539,0.000977,0.000000,0.014648,0.000000,0.000000,0.000000,0.850586
16385,118.452614,148.360,nan,0.001628,0.005000,nan,nan,nan,0.840820,0.002930,0.000000,0.023438,0.014648,0.000000,0.001953,0.834961
17409,128.028021,158.290,nan,0.032496,0.005000,nan,nan,nan,0.843750,0.001953,0.000000,0.007812,0.004883,0.000000,0.000977,0.842773
18433,136.932311,166.600,nan,0.001362,0.005000,nan,nan,nan,0.873047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.873047
19457,146.411799,175.990,nan,0.000897,0.005000,nan,nan,nan,0.870117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870117
20481,155.592156,184.650,nan,0.013141,0.005000,nan,nan,nan,0.864258,0.001953,0.000000,0.018555,0.003906,0.000000,0.000977,0.859375
21505,165.440148,194.500,nan,0.001212,0.005000,nan,nan,nan,0.856445,0.000000,0.000000,0.007812,0.000000,0.000000,0.000000,0.856445
22529,175.366358,204.870,nan,0.001816,0.005000,nan,nan,nan,0.864258,0.000000,0.006836,0.021484,0.008789,0.000000,0.000000,0.859375
23553,185.472086,215.100,nan,0.001160,0.005000,nan,nan,nan,0.846680,0.000000,0.000000,0.002930,0.000000,0.000000,0.000000,0.846680
24577,192.310591,222.160,nan,0.001629,0.005000,nan,nan,nan,0.857422,0.000977,0.000000,0.023438,0.000000,0.000000,0.000977,0.854492
25601,202.116254,232.020,nan,0.001053,0.005000,nan,nan,nan,0.850586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.850586
26625,211.272864,241.110,nan,0.001159,0.005000,nan,nan,nan,0.860352,0.000000,0.000000,0.010742,0.000000,0.000000,0.000000,0.859375
27649,220.655362,250.020,nan,0.001818,0.005000,nan,nan,nan,0.862305,0.000000,0.000000,0.028320,0.000000,0.000000,0.000000,0.858398
28673,230.695661,260.250,nan,0.003334,0.005000,nan,nan,nan,0.856445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.856445
29697,244.092281,273.850,nan,0.009059,0.005000,nan,nan,nan,0.871094,0.000977,0.000000,0.006836,0.000000,0.000000,0.000977,0.870117
30721,250.148301,279.740,nan,0.001279,0.005000,nan,nan,nan,0.867188,0.000977,0.000000,0.019531,0.000000,0.000000,0.000977,0.866211
31745,263.415995,293.180,nan,0.003821,0.005000,nan,nan,nan,0.843750,0.001953,0.000000,0.002930,0.000000,0.000000,0.000977,0.842773
32769,273.350064,303.410,nan,0.001927,0.005000,nan,nan,nan,0.868164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.868164
33793,280.264765,310.300,nan,0.003214,0.005000,nan,nan,nan,0.855469,0.002930,0.000000,0.004883,0.000000,0.000000,0.001953,0.854492
34817,285.591076,315.870,nan,0.001385,0.005000,nan,nan,nan,0.862305,0.001953,0.000000,0.040039,0.000000,0.000000,0.000977,0.856445
35841,295.302793,325.670,nan,0.002921,0.005000,nan,nan,nan,0.854492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.854492
36865,304.558654,334.770,nan,0.002796,0.005000,nan,nan,nan,0.867188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.867188
37889,320.406447,350.800,nan,0.008539,0.005000,nan,nan,nan,0.859375,0.000977,0.000000,0.002930,0.000977,0.000000,0.000977,0.859375
38913,330.274360,360.900,nan,0.001468,0.005000,nan,nan,nan,0.859375,0.000000,0.000000,0.005859,0.000000,0.000000,0.000000,0.859375
39937,336.894138,367.730,nan,0.021879,0.005000,nan,nan,nan,0.863281,0.001953,0.000000,0.014648,0.000977,0.000000,0.001953,0.862305
40961,346.089487,377.290,nan,0.001750,0.005000,nan,nan,nan,0.845703,0.000000,0.000000,0.004883,0.000000,0.000000,0.000000,0.844727
41985,360.101782,391.850,nan,0.002856,0.005000,nan,nan,nan,0.846680,0.001953,0.000000,0.000977,0.000000,0.000000,0.001953,0.846680
43009,365.577798,396.440,nan,0.003872,0.005000,nan,nan,nan,0.861328,0.001953,0.000000,0.003906,0.000000,0.000000,0.001953,0.860352
44033,375.339074,406.240,nan,0.009201,0.005000,nan,nan,nan,0.839844,0.000000,0.000000,0.000000,0.006836,0.000000,0.000000,0.837891
