timestep,raw_steer,raw_throttle
75010,0.607279,0.731714
75020,0.280218,0.911599
75030,0.223126,0.930993
75040,-0.183761,0.837621
75050,-0.245399,0.960046
75060,0.175378,0.478793
75070,-0.442476,0.883971
75080,0.533586,0.912790
75090,-0.898120,0.703506
75100,-0.788979,0.260146
75110,-0.538621,0.858866
75120,0.168433,0.968861
75130,-0.840439,0.638469
75140,0.876865,0.920854
75150,-0.438649,0.494196
75160,0.555991,0.123995
75170,-0.300346,0.789934
75180,0.153497,0.750650
75190,-0.270956,0.538841
75200,0.049111,0.887445
75210,0.443688,0.920815
75220,-0.484722,0.763790
75230,-0.138097,0.437567
75240,-0.187552,0.331245
75250,0.318919,0.553355
75260,-0.089131,0.957879
75270,-0.818107,0.870231
75280,0.400139,0.625854
75290,-0.575200,0.341272
75300,-0.544669,0.538489
75310,0.406262,0.312969
75320,0.068285,0.426827
75330,-0.544711,0.861910
75340,0.100213,0.895579
75350,-0.237132,0.412890
75360,0.267835,0.567919
75370,0.380379,0.695437
75380,0.894339,0.423446
75390,0.283319,0.890092
75400,0.371748,0.870714
75410,0.237718,0.798267
75420,0.047222,0.927699
75430,0.070345,0.814852
75440,0.274534,0.830119
75450,0.324925,0.895068
75460,0.401234,0.118302
75470,0.018875,0.838471
75480,-0.441455,0.738570
75490,-0.315751,0.940761
75500,0.140454,0.345831
75510,-0.104466,0.976771
75520,-0.311661,0.332097
75530,-0.508705,0.930736
75540,0.390154,0.304018
75550,-0.362309,0.902048
75560,0.293953,0.498748
75570,0.002231,0.897080
75580,-0.195139,0.946162
75590,0.155101,0.901568
75600,-0.308171,0.892712
75610,-0.898254,0.981120
75620,0.207289,0.273884
75630,0.239556,0.465910
75640,0.692005,0.928183
75650,-0.489536,0.963013
75660,0.249840,0.815163
75670,0.259890,0.389260
75680,-0.661650,0.778523
75690,0.959751,0.235956
75700,0.951775,0.443403
75710,-0.512103,0.335940
75720,0.591613,0.745819
75730,-0.245874,0.963255
75740,0.185296,0.297999
75750,0.488621,0.973904
75760,0.152373,0.972801
75770,0.932409,0.931916
75780,-0.152028,0.820692
75790,-0.249589,0.105940
75800,0.509245,0.887016
75810,-0.361313,0.040239
75820,0.759483,0.392414
75830,0.883237,0.790574
75840,0.460432,0.407094
75850,0.247867,0.948475
75860,0.060346,0.341784
75870,0.699534,0.501676
75880,0.429818,0.684192
75890,0.600541,0.385709
75900,0.851193,0.809348
75910,0.066491,0.700519
75920,-0.058650,0.717213
75930,-0.220764,0.419281
75940,-0.470642,0.851800
75950,-0.124823,0.953812
75960,0.508812,0.410851
75970,-0.094966,0.263006
75980,0.685227,0.756221
75990,-0.550565,0.976118
76000,-0.547633,0.267292
76010,-0.488473,0.973981
76020,-0.466312,0.915087
76030,0.777890,0.589815
76040,-0.602718,0.641648
76050,0.741738,0.966220
76060,-0.512901,0.088328
76070,0.497064,0.061517
76080,0.197995,0.493148
76090,0.954211,0.329409
76100,-0.598435,0.599379
76110,0.023298,0.935498
76120,-0.274902,0.943875
76130,0.186046,0.037898
76140,0.452466,0.084396
76150,-0.643542,0.879257
76160,0.573935,0.062481
76170,0.455571,0.234815
76180,-0.259365,0.704236
76190,-0.239559,0.813888
76200,-0.358688,0.122298
76210,0.352051,0.114771
76220,0.013542,0.463433
76230,-0.037669,0.879803
76240,0.505209,0.522080
76250,-0.344363,0.661104
76260,0.167747,0.918503
76270,0.294003,0.757348
76280,0.748601,0.459187
76290,-0.651604,0.627722
76300,0.160426,0.946525
76310,0.201642,0.847463
76320,-0.490583,0.965943
76330,-0.567625,0.564621
76340,0.191188,0.871797
76350,-0.179718,0.781385
76360,0.557787,0.985909
76370,-0.271035,0.693259
76380,0.429237,0.906372
76390,0.154937,0.353751
76400,-0.557976,0.583224
76410,0.063342,0.646361
76420,0.377970,0.266203
76430,0.820672,0.440698
76440,0.096491,0.650586
76450,-0.560209,0.870104
76460,0.202826,0.392782
76470,-0.089400,0.969709
76480,0.034444,0.949287
76490,0.448448,0.571095
76500,0.172397,0.122595
76510,-0.064806,0.683807
76520,-0.119643,0.179275
76530,-0.297508,0.540685
76540,0.578436,0.954624
76550,-0.541756,0.365368
76560,0.687177,0.067976
76570,-0.598356,0.658443
76580,0.018986,0.929396
76590,-0.387925,0.465161
76600,0.900628,0.617867
76610,0.545423,0.625745
76620,-0.120749,0.974590
76630,-0.582111,0.576309
76640,0.325716,0.475091
76650,0.351054,0.567570
76660,-0.219863,0.907528
76670,0.407650,0.348268
76680,0.613325,0.505732
76690,-0.538666,0.763139
76700,0.376988,0.974743
76710,0.003584,0.673376
76720,0.632185,0.898018
76730,0.923090,0.814835
76740,0.356469,0.679572
76750,0.495074,0.778913
76760,0.101614,0.773958
76770,-0.449512,0.731083
76780,0.912372,0.339398
76790,0.219509,0.604104
76800,0.593712,0.876503
76810,-0.788149,0.541864
76820,0.479611,0.878530
76830,-0.470154,0.985520
76840,-0.600141,0.952134
76850,0.309020,0.731113
76860,0.431495,0.759563
76870,0.161818,0.805164
76880,-0.076811,0.942690
76890,-0.236490,0.948026
76900,0.555072,0.816655
76910,-0.289344,0.949893
76920,0.507413,0.177485
76930,-0.524937,0.027620
76940,0.739069,0.634683
76950,0.809783,0.040050
76960,0.310861,0.915024
76970,0.692392,0.981421
76980,0.205163,0.955150
76990,0.278862,0.793314
77000,0.575932,0.256749
77010,-0.412837,0.678768
77020,-0.612536,0.743694
