timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
75001,132.479371,180.920,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76025,85.747953,155.390,nan,0.003397,0.005000,nan,nan,nan,0.931641,0.013672,0.000000,0.013672,0.009766,0.000000,0.011719,0.929688
77049,46.049778,134.450,nan,0.003916,0.005000,nan,nan,nan,0.928711,0.019531,0.000000,0.037109,0.000977,0.000000,0.015625,0.924805
78073,11.796922,116.200,nan,0.012773,0.005000,nan,nan,nan,0.942383,0.014648,0.000000,0.025391,0.000977,0.000000,0.013672,0.939453
79097,-11.365150,115.520,nan,0.006313,0.005000,nan,nan,nan,0.946289,0.008789,0.000000,0.007812,0.000000,0.000000,0.008789,0.946289
80121,-59.256142,89.730,nan,0.003671,0.005000,nan,nan,nan,0.954102,0.020508,0.000000,0.031250,0.000000,0.000000,0.016602,0.948242
81145,-89.378094,79.800,nan,0.003759,0.005000,nan,nan,nan,0.950195,0.011719,0.000000,0.015625,0.000000,0.000000,0.008789,0.947266
82169,-115.037866,72.090,nan,0.004315,0.005000,nan,nan,nan,0.946289,0.007812,0.034180,0.011719,0.014648,0.000000,0.007812,0.944336
83193,-108.662322,66.340,nan,0.008198,0.005000,nan,nan,nan,0.929688,0.023438,0.001953,0.027344,0.008789,0.000000,0.019531,0.924805
84217,-111.439716,68.380,nan,0.012993,0.005000,nan,nan,nan,0.944336,0.008789,0.000000,0.012695,0.000000,0.000000,0.007812,0.941406
85241,-124.797316,77.290,nan,0.003747,0.005000,nan,nan,nan,0.947266,0.007812,0.000000,0.012695,0.000977,0.000000,0.005859,0.945312
86265,-115.044642,71.190,nan,0.003438,0.005000,nan,nan,nan,0.942383,0.018555,0.000000,0.038086,0.000000,0.000000,0.015625,0.937500
87289,-120.118913,74.800,nan,0.005632,0.005000,nan,nan,nan,0.950195,0.014648,0.000000,0.022461,0.000977,0.000000,0.013672,0.949219
88313,-128.775800,80.220,nan,0.005238,0.005000,nan,nan,nan,0.944336,0.007812,0.000000,0.025391,0.001953,0.000000,0.006836,0.942383
89337,-117.978814,73.130,nan,0.003229,0.005000,nan,nan,nan,0.922852,0.016602,0.000000,0.024414,0.004883,0.000000,0.014648,0.919922
90361,-118.971980,73.740,nan,0.003758,0.005000,nan,nan,nan,0.944336,0.002930,0.000000,0.012695,0.000000,0.000000,0.002930,0.944336
91385,-139.469022,86.890,nan,0.003372,0.005000,nan,nan,nan,0.948242,0.010742,0.000000,0.025391,0.002930,0.000000,0.009766,0.945312
92409,-141.548931,88.350,nan,0.002672,0.005000,nan,nan,nan,0.930664,0.012695,0.000000,0.020508,0.005859,0.000000,0.010742,0.927734
93433,-152.011642,95.040,nan,0.003132,0.005000,nan,nan,nan,0.942383,0.005859,0.000000,0.010742,0.000000,0.000000,0.003906,0.940430
94457,-137.552239,85.620,nan,0.005840,0.005000,nan,nan,nan,0.936523,0.017578,0.018555,0.026367,0.020508,0.000000,0.015625,0.932617
95481,-140.276388,87.380,nan,0.002475,0.005000,nan,nan,nan,0.943359,0.011719,0.000000,0.016602,0.002930,0.000000,0.010742,0.941406
96505,-143.337942,89.110,nan,0.003153,0.005000,nan,nan,nan,0.949219,0.012695,0.000000,0.024414,0.004883,0.000000,0.010742,0.946289
97529,-146.469851,91.100,nan,0.002970,0.005000,nan,nan,nan,0.933594,0.004883,0.004883,0.019531,0.002930,0.000000,0.004883,0.929688
98553,-147.699424,91.620,nan,0.002450,0.005000,nan,nan,nan,0.924805,0.015625,0.006836,0.023438,0.009766,0.000000,0.015625,0.922852
99577,-143.864988,88.910,nan,0.002394,0.005000,nan,nan,nan,0.927734,0.011719,0.000000,0.031250,0.007812,0.000000,0.011719,0.926758
