timestep,raw_steer,raw_throttle
75010,0.563145,0.635229
75020,0.267763,0.914551
75030,0.396610,0.919648
75040,-0.242989,0.803317
75050,-0.618755,0.955307
75060,0.437882,0.725605
75070,-0.526786,0.896399
75080,0.446270,0.802690
75090,-0.604763,0.734034
75100,-0.823874,0.198390
75110,-0.602643,0.903543
75120,-0.230322,0.976359
75130,-0.447563,0.624120
75140,-0.107145,0.776672
75150,-0.516647,0.511930
75160,0.640916,0.147964
75170,-0.813864,0.826344
75180,0.281380,0.770037
75190,0.235166,0.554448
75200,0.155390,0.786624
75210,0.004376,0.889007
75220,-0.414935,0.724709
75230,0.120576,0.502416
75240,0.263240,0.337191
75250,0.285660,0.526750
75260,0.293865,0.965532
75270,-0.740488,0.859509
75280,-0.193198,0.638341
75290,-0.111372,0.052536
75300,-0.371331,0.584133
75310,0.689528,0.164820
75320,0.446420,0.234701
75330,-0.735382,0.868048
75340,0.852530,0.826412
75350,0.070780,0.905742
75360,0.405681,0.449952
75370,0.651264,0.621621
75380,0.657558,0.487152
75390,-0.482459,0.864444
75400,0.588750,0.890759
75410,-0.355467,0.669268
75420,-0.612773,0.907416
75430,0.284135,0.837067
75440,0.295559,0.796593
75450,-0.193298,0.761835
75460,0.018307,0.118684
75470,-0.129037,0.234054
75480,0.459008,0.977375
75490,-0.211493,0.858514
75500,0.952115,0.229090
75510,0.912049,0.976749
75520,0.657610,0.186201
75530,-0.821132,0.945059
75540,0.870354,0.451230
75550,-0.464077,0.907496
75560,0.497474,0.256622
75570,-0.060244,0.805193
75580,-0.009196,0.950493
75590,-0.305591,0.865882
75600,0.621657,0.901955
75610,-0.600888,0.959457
75620,0.153939,0.274432
75630,0.418721,0.593857
75640,0.011527,0.906931
75650,-0.371191,0.986730
75660,0.087092,0.640785
75670,0.604905,0.136512
75680,-0.790654,0.552896
75690,-0.293983,0.692606
75700,0.887353,0.248247
75710,0.185380,0.182688
75720,-0.387990,0.844762
75730,-0.271597,0.965178
75740,0.282393,0.442998
75750,-0.335498,0.973255
75760,0.147945,0.963282
75770,0.166474,0.943133
75780,0.264369,0.668242
75790,0.537964,0.940577
75800,-0.678948,0.546046
75810,-0.460465,0.468174
75820,0.925663,0.726768
75830,0.666138,0.946989
75840,-0.507157,0.561324
75850,0.643689,0.919616
75860,-0.602523,0.843213
75870,0.884705,0.852952
75880,-0.006673,0.799640
75890,0.115740,0.791627
75900,0.842832,0.895299
75910,-0.529906,0.708948
75920,-0.667234,0.855731
75930,0.591768,0.590267
75940,-0.526434,0.960321
75950,0.044884,0.966059
75960,0.663640,0.152225
75970,-0.620026,0.355366
75980,0.041091,0.308240
75990,-0.791659,0.917751
76000,0.577377,0.152236
76010,-0.866350,0.936406
76020,-0.226478,0.766842
76030,-0.221111,0.360587
76040,0.586721,0.905167
76050,-0.590453,0.934637
76060,0.307014,0.108259
76070,0.794516,0.132875
76080,0.717924,0.458251
76090,0.348458,0.726961
76100,-0.085926,0.218321
76110,-0.664823,0.342203
76120,0.896654,0.962469
76130,0.191890,0.576464
76140,0.205904,0.075951
76150,-0.290676,0.948873
76160,0.812058,0.481492
76170,0.764437,0.033917
76180,-0.797733,0.319705
76190,0.277056,0.794292
76200,0.476530,0.587907
76210,0.040929,0.066102
76220,-0.888293,0.678527
76230,-0.626163,0.777650
76240,0.501415,0.703192
76250,-0.450878,0.808002
76260,0.347572,0.948859
76270,-0.073089,0.876087
76280,0.386531,0.472473
76290,0.004419,0.847310
76300,0.205831,0.959234
76310,-0.014016,0.931479
76320,-0.510553,0.960687
76330,-0.696703,0.571645
76340,-0.317622,0.831459
76350,0.358199,0.830980
76360,0.039937,0.986538
76370,-0.334475,0.865532
76380,0.469726,0.169797
76390,0.220692,0.982219
76400,-0.489402,0.944537
76410,0.675842,0.568070
76420,0.311475,0.309448
76430,0.761277,0.199237
76440,0.697179,0.764882
76450,-0.959998,0.032863
76460,0.129820,0.335974
76470,-0.256915,0.966527
76480,0.970833,0.956056
76490,-0.448682,0.844909
76500,-0.557351,0.036390
76510,0.314018,0.974694
76520,0.656888,0.191233
76530,-0.427432,0.279704
76540,-0.159637,0.336686
76550,0.570533,0.300281
76560,0.589178,0.050727
76570,-0.695952,0.611965
76580,-0.233061,0.918833
76590,-0.110262,0.497388
76600,0.276002,0.817554
76610,-0.058029,0.738323
76620,0.160078,0.970514
76630,-0.710883,0.735658
76640,-0.204080,0.231609
76650,-0.671162,0.684180
76660,-0.028182,0.882659
76670,-0.614824,0.369859
76680,0.629278,0.199338
76690,-0.815177,0.470136
76700,0.110809,0.955222
76710,-0.322426,0.480320
76720,0.905764,0.984327
76730,0.334431,0.487333
76740,-0.064327,0.594149
76750,0.557432,0.860463
76760,-0.085194,0.515626
76770,-0.082743,0.526320
76780,-0.056884,0.938597
76790,-0.223823,0.166459
76800,0.211796,0.782711
76810,0.026169,0.214979
76820,0.268617,0.799209
76830,-0.575630,0.973394
76840,-0.051480,0.832231
76850,0.290092,0.516572
76860,0.677885,0.618564
76870,0.458052,0.669127
76880,-0.808708,0.891659
76890,-0.745229,0.908876
76900,0.487818,0.351105
76910,-0.106807,0.930480
76920,0.178889,0.144712
76930,-0.838145,0.016461
76940,0.646334,0.400173
76950,0.729573,0.035514
76960,0.822645,0.910487
76970,0.247146,0.975075
76980,-0.174979,0.964722
76990,0.966271,0.367235
77000,0.322368,0.329748
77010,-0.565317,0.538181
77020,-0.132844,0.701530
77030,0.171371,0.189886
77040,0.857594,0.442625
77050,-0.259246,0.006857
77060,-0.254195,0.900818
77070,-0.901569,0.185023
77080,-0.038583,0.657271
77090,-0.366616,0.851006
77100,0.935045,0.524235
77110,-0.532287,0.728544
77120,0.068097,0.490563
77130,0.340311,0.926487
77140,0.769326,0.222579
77150,-0.210044,0.712322
77160,-0.738524,0.230181
77170,-0.438159,0.392301
77180,0.469293,0.896231
77190,0.635860,0.652229
77200,0.662469,0.630064
77210,0.433706,0.837998
77220,-0.481262,0.522877
77230,0.254168,0.799076
77240,-0.321933,0.741136
77250,0.675613,0.953852
77260,-0.735834,0.897877
77270,0.611247,0.114298
77280,0.487249,0.443813
77290,0.289947,0.487441
77300,-0.202988,0.911956
77310,0.247570,0.864460
77320,-0.765467,0.956572
77330,0.032958,0.749043
77340,-0.640275,0.729576
77350,-0.278400,0.403664
77360,-0.384491,0.634254
77370,0.220112,0.525512
77380,0.814177,0.938377
77390,-0.620015,0.879724
77400,0.295206,0.928561
77410,0.328723,0.684076
77420,0.846124,0.232179
77430,-0.203148,0.960188
77440,0.795987,0.702592
77450,-0.013624,0.690914
77460,-0.427046,0.535874
77470,0.638248,0.960378
77480,0.280212,0.816210
77490,-0.960902,0.657371
77500,0.496673,0.791482
77510,0.157400,0.857105
77520,-0.489724,0.255087
77530,-0.337212,0.454734
77540,0.831079,0.601034
77550,-0.463236,0.247935
77560,0.503094,0.428343
77570,0.594193,0.501947
77580,-0.881081,0.540746
77590,0.167089,0.398104
77600,0.491304,0.210071
77610,-0.291471,0.905052
77620,-0.190346,0.849198
77630,-0.934081,0.190005
77640,0.735720,0.912860
77650,0.289250,0.570039
77660,-0.379608,0.886412
77670,-0.304653,0.657126
77680,-0.388277,0.401935
77690,-0.441607,0.937231
77700,0.979326,0.979526
77710,-0.045825,0.621444
77720,0.273957,0.640717
77730,0.246150,0.947044
77740,-0.722851,0.032480
77750,0.312925,0.696868
77760,0.043797,0.663742
77770,-0.725659,0.555960
77780,0.678221,0.901841
77790,0.285730,0.852681
77800,-0.219265,0.447073
77810,-0.638390,0.690166
77820,0.260048,0.042602
77830,-0.013626,0.103398
77840,0.958587,0.901425
77850,0.200962,0.870525
77860,-0.648882,0.900945
77870,0.341704,0.431122
77880,0.801846,0.752043
77890,0.099133,0.860031
77900,0.896395,0.861573
77910,-0.095777,0.339387
77920,-0.072051,0.749059
77930,0.051063,0.854050
77940,0.412693,0.900685
77950,-0.094261,0.655029
77960,0.794009,0.385789
77970,-0.080447,0.169439
77980,0.809948,0.444239
77990,0.828770,0.919228
78000,0.465777,0.712580
78010,0.021092,0.713911
78020,0.650292,0.615516
78030,0.203196,0.074065
78040,0.611364,0.546065
78050,-0.166048,0.283756
78060,0.067087,0.977345
78070,0.500208,0.798644
78080,-0.377751,0.138811
78090,0.121039,0.373562
78100,-0.833282,0.366753
78110,0.298173,0.929245
78120,0.545899,0.605799
78130,0.531329,0.655966
78140,-0.204939,0.351469
78150,0.675175,0.945987
78160,-0.533064,0.492598
78170,0.752338,0.541309
78180,0.578203,0.841400
78190,-0.721819,0.163417
78200,0.432442,0.944535
78210,0.533466,0.081712
78220,-0.456783,0.591933
78230,-0.193181,0.974403
78240,0.347201,0.463789
78250,-0.794851,0.544674
78260,-0.394723,0.404923
78270,0.127105,0.213474
78280,0.471342,0.666043
78290,0.440947,0.630835
78300,-0.388249,0.767879
78310,0.286727,0.384301
78320,-0.429681,0.131278
78330,0.725264,0.810581
78340,-0.310954,0.656318
78350,0.219026,0.870247
78360,-0.513748,0.681896
78370,0.518247,0.441018
78380,0.790012,0.151496
78390,-0.686095,0.869061
78400,0.320829,0.914318
78410,0.894657,0.302393
78420,-0.137064,0.835860
78430,0.477239,0.632631
78440,0.442410,0.210610
78450,-0.461709,0.961949
78460,-0.695588,0.664803
78470,-0.777612,0.707638
78480,-0.301189,0.921149
78490,0.826435,0.211883
78500,-0.632196,0.980075
78510,-0.790330,0.062302
78520,-0.128808,0.503167
78530,-0.183655,0.056748
78540,-0.860076,0.299512
78550,-0.448263,0.868130
78560,0.697228,0.552913
78570,0.603940,0.683121
78580,0.637234,0.753454
78590,-0.288078,0.299337
78600,0.538720,0.677851
78610,-0.339950,0.910740
78620,0.334505,0.544010
78630,0.390803,0.963821
78640,0.704771,0.934972
78650,0.600624,0.464920
78660,0.637829,0.731916
78670,-0.083131,0.631401
