timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
75001,132.479371,180.920,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76025,127.644642,175.190,nan,0.005257,0.005000,nan,nan,nan,0.951172,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.951172
77049,85.111395,184.240,nan,0.004135,0.005000,nan,nan,nan,0.956055,0.003906,0.000000,0.010742,0.004883,0.000000,0.002930,0.954102
78073,59.332539,193.550,nan,0.004509,0.005000,nan,nan,nan,0.943359,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.942383
79097,-5.813372,188.440,nan,0.003173,0.005000,nan,nan,nan,0.961914,0.004883,0.000000,0.005859,0.000000,0.000000,0.004883,0.961914
80121,-34.064919,194.290,nan,0.002940,0.005000,nan,nan,nan,0.950195,0.003906,0.000000,0.007812,0.009766,0.000000,0.002930,0.948242
81145,-65.153964,204.370,nan,0.007302,0.005000,nan,nan,nan,0.950195,0.003906,0.002930,0.011719,0.001953,0.000000,0.002930,0.949219
82169,-89.410395,212.270,nan,0.002202,0.005000,nan,nan,nan,0.969727,0.000977,0.000000,0.001953,0.000000,0.000000,0.000977,0.969727
83193,-124.995395,215.080,nan,0.002464,0.005000,nan,nan,nan,0.953125,0.003906,0.025391,0.010742,0.000977,0.000000,0.003906,0.951172
84217,-155.089531,203.010,nan,0.003042,0.005000,nan,nan,nan,0.953125,0.006836,0.000000,0.017578,0.000977,0.000000,0.004883,0.950195
85241,-199.389571,216.040,nan,0.002112,0.005000,nan,nan,nan,0.956055,0.002930,0.000000,0.005859,0.000000,0.000000,0.001953,0.955078
86265,-222.591734,224.280,nan,0.001524,0.005000,nan,nan,nan,0.950195,0.000977,0.000000,0.008789,0.000000,0.000000,0.000977,0.950195
87289,-222.591734,224.280,nan,0.001810,0.005000,nan,nan,nan,0.948242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948242
88313,-290.147661,239.310,nan,0.001751,0.005000,nan,nan,nan,0.946289,0.004883,0.000000,0.004883,0.000977,0.000000,0.003906,0.943359
89337,-299.877436,241.000,nan,0.001786,0.005000,nan,nan,nan,0.940430,0.001953,0.000000,0.006836,0.000977,0.000000,0.001953,0.940430
